Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Chiwan,Algeciras,Valencia,Khawr Fakkan,Jeddah,Colombo,Santos,Felixstowe,Manila,Constantinopole,Tanger,Balboa,Gioia Tauro,Port Said,Mina Raysut,Shilong,Vancouver,Marsaxlokk,Yokohama Ko,Nagoya Ko,Durban,Kobe,Colon,Le Havre,Melbourne,Cartagena,St Petersburg,Manzanillo (Mex),Yantai,Gwangyang Hang,Sydney,Fuzhou,Genova,Osaka,Dublin,Mumbai,Puerto Del Callao,Barcelona,Rades,Surabaja,Southampton,Dammam,Chittagong,Guayaquil,Kingston,Karachi,Chennai,Bangkok,Alexandria,Taichung,Mersin,Mundra,Manzanillo (Pan),Buenos Aires,South Riding Point,Taipei,La Spezia,Pulau Pinang,Ashdod,Damietta,Gdynia,Haifa,Nanjing,Puerto Moin,Puerto San Antonio,Marseille,Lazaro Cardenas,Da Chan Bay,Cagliari,Jiangyin,Beirut,Itajai,Veracruz,Goteborg,Buenaventura,Valparaiso,Tauranga,Pasir Gudang,Auckland,Caucedo,Izmir,Cristobal,Montevideo,Paranagua,Djibouti,Al Aqabah,Cape Town,Casablanca,Qasim,Qinhuangdao,Doha,Puerto Limon,Rio Grande,Hakata,Gemlik,Piraievs,Altamira,Puerto Cortes,Thilawa,Tuticorin,Dakar,Dar es Salaam,Navegantes,Liverpool,Aliaga,Douala,Santo Tomas,Sines,Napoli,Hai Phong,Bahia San Vicente,Puerto Cabello,Puerto Barrios,Halifax,Haina,Puerto Quetzal,Port Adelaide,Livorno,Vienna,Port De Salvador,Rio de Janeiro,Puerto Caldera,Sepetiba Bay,Budapest,Paita,Vitoria,Acajutla,Mombasa,Pecem,Port Au Prince,Pipavav Bandar,Santa Marta,Barranquilla,Varna,Corinto,Puerto Castilla,Reykjavik,St John,Progreso,Puerto Plata,Santo Domingo,Sendai,Bratislava,Shimizu,All Other Brazil Ports South of Recife,Eemshaven,All Other Chile Ports,All Other India West Coast Ports,All Other Fiji Islands Ports,Coquimbo,Asuncion,Kleinhuningen,Cebu,Izmit,All Other Vietnam Ports,Semarang,All Other Turkey Mediterranean Ports,All Other Norway Ports,Tema,All Other Nicaragua Caribbean Region Ports,Palembang,Abidjan,San Pedro,Belawan,Davao,All Ports in Cambodia,Klaipeda,Aarhus,Rauma,Koper,Ringaskiddy,Tallinn,Constanta,Riga,Fredericia,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Marsaxlokk,18453.13,15265.09,17600.40,17600.40,18671.15,17603.48,18459.97,17690.71,8923.53,18729.40,4879.11,14735.77,18160.05,18270.32,5338.19,4829.44,18011.04,15145.17,14713.96,15933.16,5120.17,16232.92,18629.55,17012.43,9744.09,13375.34,2406.79,1706.65,8833.23,3722.86,11207.39,12708.73,4679.92,17918.48,1873.99,2455.23,12567.01,339.17,2017.95,6828.56,18679.62,16237.73,0.00,17012.43,17152.92,13159.85,17272.83,17967.59,4321.92,26375.08,11958.93,7132.90,11464.76,18151.64,17802.67,7444.60,18488.95,1157.98,17272.83,4462.41,9744.09,15459.52,1468.05,577.76,17212.79,4420.03,9533.36,13454.34,14145.95,11429.09,9016.09,11806.44,14662.56,1728.45,18328.40,2644.87,9403.70,11464.76,17380.59,10480.05,18470.12,1157.98,14495.94,2455.23,2017.95,6037.10,2504.90,19858.29,12547.67,18052.93,1425.68,15703.88,17690.71,797.02,18691.22,2336.54,13407.63,12971.16,5717.99,14383.32,18052.93,23731.05,15265.09,23802.52,10533.25,1545.59,12348.99,15722.37,13287.72,5259.42,2615.78,14702.58,2865.86,9016.09,18559.82,9434.02,12547.67,14536.52,17464.73,1972.10,1176.82,13160.08,12366.03,14064.22,11008.20,5450.75,9742.86,13407.63,4650.83,1545.59,10891.76,12674.37,2816.19,678.33,17221.32,18266.12,11054.05,12674.37,7922.52,10721.67,14300.52,26000.78,1206.43,4853.49,10322.52,12098.90,13673.08,12388.40,5440.50,14265.86,11300.66,14060.69,9454.59,9176.59,10802.17,9622.95,11739.67,11691.23,2231.99,13673.08,12146.78,6011.47,8023.59,12032.42,10512.67,10533.25,16364.94,4943.80,17641.60,10131.13,5000.25,18052.93,9136.00,21176.48,17685.90,25780.45,4361.28,18329.63,2062.41,17409.74,16902.73,2456.46,7715.37,9084.03,12307.84,15822.28,8345.72,21068.29,14394.86,18878.30,14806.01,6256.35,5529.58,6636.15,1346.40,4441.83,6636.15,2163.48,6636.15,5507.77,16955.42,15159.02,15929.40,16739.69,17388.93,12642.30,11732.67,10819.21,10149.41,9209.44
Yokohama Ko,2273.59,6677.75,3790.09,3790.09,2491.62,1734.01,2693.32,4049.98,14454.79,2962.75,12768.05,7207.08,2963.98,2702.35,12747.48,12928.60,3112.98,6797.67,6875.20,5877.77,12529.45,7078.64,2752.02,23.04,12111.47,30247.29,14716.98,15753.83,14364.48,17401.16,10252.84,23175.55,12808.69,3623.53,18687.74,14905.40,17531.44,16913.09,18831.71,14295.47,5249.11,9255.41,17012.43,0.00,605.63,20791.35,695.94,28434.41,12959.43,11071.66,17396.96,14054.09,16902.80,2384.98,1833.86,12981.98,2971.27,16292.95,695.94,12550.03,12111.47,19007.96,15544.38,16671.53,6491.13,13127.79,15064.62,8704.23,18031.10,16867.13,13050.20,9992.95,6897.01,18641.55,2991.84,19458.63,12958.15,16902.80,27847.41,15918.09,2653.91,16292.95,6826.76,19174.58,18831.71,13344.08,19318.65,3851.30,16863.37,21601.38,16022.30,13469.92,4049.98,16411.64,2652.17,19150.30,23874.46,15936.18,12507.65,19032.07,21601.38,10911.10,6677.75,10740.29,16339.55,18359.35,17343.02,26189.20,23754.55,16241.44,18648.22,24215.64,14907.14,13050.20,2892.50,14965.28,16863.37,25003.35,1425.68,18785.85,17990.58,16534.01,17293.35,7734.66,10352.69,17181.96,17771.72,23874.46,12598.47,18359.35,22622.97,16985.02,14307.58,16673.27,4779.72,21560.23,17257.71,16985.02,13319.92,16457.72,15417.12,12648.08,16510.98,17578.15,20789.34,22565.73,15807.69,22855.22,18571.54,17800.31,21767.48,15446.72,17483.45,18940.97,16339.55,12399.73,17277.05,17129.27,19045.75,15807.69,17584.82,11547.83,13461.63,16874.91,16149.39,16339.55,647.50,18074.84,1064.71,20597.96,12479.78,21601.38,12860.04,8952.57,21234.34,36247.28,16440.17,3625.26,18876.16,4828.16,6830.29,19270.21,10837.39,20815.24,17003.35,7036.27,20076.92,31535.11,7304.68,4231.61,6318.01,13563.33,12359.87,13413.81,17197.89,12769.28,13943.13,18977.24,13943.13,12548.29,7967.19,8176.70,8947.07,9757.37,10406.61,17163.18,17170.71,16257.25,15587.44,14647.48
Nagoya Ko,2004.67,6408.83,3521.16,3521.16,2222.69,1155.02,2213.66,3781.06,14185.87,2483.09,12908.54,6938.15,2695.05,2161.03,12887.96,13069.09,2844.06,6528.75,6606.28,5608.85,12669.94,6809.72,2272.36,605.63,11842.54,30387.77,14857.47,15894.31,14095.56,17132.24,9983.92,23316.04,12949.17,3424.34,18828.23,15045.89,17671.93,17053.58,18837.15,14026.55,4980.19,9395.89,17152.92,605.63,0.00,20522.43,526.36,28574.90,13099.92,11212.14,17537.45,14194.58,17043.29,1905.33,1354.21,13122.47,2702.35,16433.44,526.36,12690.51,11842.54,19148.45,15684.87,16812.02,6391.28,13268.28,14795.69,8435.30,18171.59,17007.62,12781.27,9724.02,6628.08,18782.04,2722.92,19574.96,12689.23,17043.29,27987.90,16058.57,2384.98,16433.44,6557.84,18905.66,18837.15,13484.56,19165.55,3441.89,17003.86,21741.86,16162.78,13610.41,3781.06,16552.13,2242.76,19097.04,24014.95,16076.67,12648.14,19172.55,21741.86,11250.27,6408.83,11079.46,16480.04,18499.83,17483.51,26329.69,23895.03,15972.52,18379.30,23946.71,15047.63,12781.27,2412.85,14696.36,17003.86,25143.83,1016.27,18926.34,18131.06,16674.50,17433.84,7465.74,10083.76,17322.45,17502.80,24014.95,12738.95,18499.83,22763.45,17125.51,14448.06,16813.76,4510.79,21700.71,17398.19,17125.51,13460.40,16598.21,15557.61,12788.57,16651.47,17718.63,20929.83,22706.21,15948.18,22995.71,18712.03,17940.80,21907.97,15587.21,17214.53,19081.46,16480.04,12130.81,17417.54,17269.76,19186.23,15948.18,17725.31,11688.32,13602.12,17015.40,16289.88,16480.04,1016.27,18215.33,865.52,20738.44,12620.27,21741.86,12591.12,9291.74,21374.83,36387.76,16580.66,3525.41,19016.65,4559.24,6730.44,19386.54,10977.87,20955.72,17143.84,6767.34,20217.41,31675.60,7035.76,4131.76,6049.09,13703.81,12500.36,13554.30,17338.37,12909.76,14083.62,19117.73,14083.62,12688.77,8335.96,8317.18,9087.56,9897.86,10547.09,17303.67,17311.19,16397.74,15727.93,14787.97
Durban,18716.44,14932.42,17267.73,17267.73,18764.88,19604.27,19603.77,17358.04,9286.24,20042.78,17840.28,14403.10,17827.38,19852.62,18299.36,17790.61,17678.37,14812.51,14381.29,15600.49,18081.34,15900.25,19563.13,20791.35,9510.76,25915.05,15467.30,14767.16,9195.93,9436.99,10874.72,18642.67,17641.10,17585.81,12878.88,15515.74,21762.11,13060.51,11141.90,7389.94,18346.95,29080.90,13159.85,20791.35,20522.43,0.00,20332.28,23901.53,17283.09,27594.73,21054.17,20094.08,21195.17,19465.02,19434.69,18887.49,18156.28,13978.67,20332.28,17407.38,9510.76,24584.37,14429.23,13737.61,16880.13,17381.20,9896.06,13121.67,23270.80,21075.25,9378.79,11473.77,14329.89,11431.40,17995.73,11879.71,9567.72,21195.17,23314.52,20939.52,18137.45,13978.67,14163.27,11210.41,11141.90,18998.27,11470.30,20393.49,22093.98,27177.78,14386.85,25753.89,17358.04,13758.19,19194.36,11401.79,19341.57,23615.23,18679.17,23508.17,27177.78,29960.88,14932.42,29790.07,19868.83,12318.72,21614.33,21656.31,19221.66,8277.26,10684.05,3424.28,15331.24,9378.79,19972.54,9796.73,22093.98,20470.46,19605.50,12976.99,12418.57,23804.16,22685.02,13731.55,10675.53,12676.10,4192.20,19341.57,17595.80,12318.72,8782.99,22993.35,15649.83,13399.68,16888.65,27390.97,19968.17,22993.35,19324.76,20086.85,23946.67,25668.11,14027.11,17364.11,16554.47,18032.84,23319.24,18322.34,17951.11,23390.71,17333.94,23706.85,4313.34,16302.60,20348.48,9588.30,20764.67,20745.84,13236.88,23319.24,22325.28,18646.43,19396.23,22676.50,20058.98,19868.83,21201.99,17454.41,19922.87,16363.09,17961.42,27177.78,9399.37,28072.59,26810.74,31714.39,17181.96,17996.96,13067.30,17077.07,16570.06,11691.29,20660.34,9419.67,21994.64,15489.61,9880.48,27002.23,14062.19,18545.63,14473.34,19217.52,18490.75,19597.32,13857.02,17188.13,19597.32,13168.37,19597.32,18468.94,28521.69,28002.19,28772.57,29299.32,28550.74,23523.24,22613.60,21278.69,21100.58,20441.60
Kobe,1814.51,6218.68,3331.01,3331.01,2032.54,1105.35,2163.99,3590.90,13995.71,2433.42,13028.45,6748.00,2504.90,2111.36,13007.88,13189.00,2653.91,6338.59,6416.13,5418.69,12789.85,6619.56,2222.69,695.94,11652.39,30507.69,14977.38,16014.23,13905.40,16942.08,9793.76,23435.95,13069.09,3263.79,18948.14,15165.80,17791.84,17173.49,18646.99,13836.39,4790.03,9515.81,17272.83,695.94,526.36,20332.28,0.00,28694.81,13219.83,11162.47,17657.36,14314.49,17163.20,1855.66,1304.54,13242.38,2512.19,16553.35,50.00,12810.43,11652.39,19268.36,15804.78,16931.93,6230.73,13388.19,14605.54,8245.15,18291.50,17127.53,12591.12,9533.87,6437.93,18901.95,2532.76,19384.80,12499.07,17163.20,28107.81,16178.49,2194.83,16553.35,6367.68,18715.50,18646.99,13604.48,18975.39,3392.22,17123.77,21861.78,16282.70,13730.32,3590.90,16672.04,2193.09,18906.89,24134.86,16196.58,12768.05,19292.47,21861.78,11299.94,6218.68,11129.13,16599.95,18619.75,17603.42,26449.60,24014.95,15782.36,18189.14,23756.56,15167.54,12591.12,2363.18,14506.20,17123.77,25263.75,966.60,19046.25,18250.98,16794.41,17553.75,7275.58,9893.61,17442.36,17312.64,24134.86,12858.87,18619.75,22883.37,17245.42,14567.98,16933.67,4320.64,21820.63,17518.11,17245.42,13580.32,16718.12,15677.52,12738.90,16771.38,17838.55,21049.74,22826.13,16068.09,23115.62,18831.94,18060.71,22027.88,15707.12,17024.38,19201.37,16599.95,11940.65,17537.45,17389.67,19306.15,16068.09,17845.22,11808.23,13722.03,17135.31,16409.79,16599.95,1106.58,18335.24,605.63,20858.36,12740.18,21861.78,12400.96,9341.41,21494.74,36507.68,16700.57,3364.86,19136.56,4369.08,6569.89,19196.38,11097.79,21075.64,17263.75,6577.19,20337.32,31795.51,6845.60,3971.21,5858.94,13823.73,12620.27,13674.21,17458.29,13029.68,14203.53,19237.64,14203.53,12808.69,8426.27,8437.10,9207.47,10017.77,10667.01,17423.58,17431.11,16517.65,15847.84,14907.88
Colon,29875.11,33133.34,31391.60,31391.60,30093.13,29025.46,29881.95,31651.50,26791.78,30151.38,17313.60,32604.02,30565.49,29692.30,17772.68,17263.93,30714.50,33013.43,32582.21,33479.29,17554.65,34101.17,30051.53,28434.41,27612.34,31202.44,15560.80,16597.65,26701.48,21591.12,29075.64,5258.86,17114.41,31593.30,19742.24,15609.25,16052.85,17967.59,19886.20,24696.81,32850.63,22985.68,17967.59,28434.41,28574.90,23901.53,28694.81,0.00,16756.41,37794.61,16591.21,19567.39,16987.56,29573.62,29224.65,16073.08,30572.79,17446.79,28694.81,16615.92,27612.34,13257.74,16838.70,17626.69,34589.34,16854.52,27401.61,31322.59,14851.26,16867.64,26884.34,29674.69,32530.81,19696.04,30593.36,20513.13,27271.95,16987.56,2398.26,16731.91,30255.42,17446.79,32364.19,20323.48,19886.20,18471.58,20373.15,31280.27,16034.02,11131.42,17275.98,18233.84,31651.50,17466.14,30113.20,20204.79,4828.88,18829.64,18041.60,16871.67,11131.42,33487.77,33133.34,33559.24,15661.22,19413.84,16034.02,2482.08,4878.55,23127.68,20484.03,20477.25,15171.97,26884.34,29981.80,27302.27,16034.02,3501.31,28886.71,19840.35,19045.07,19117.91,17332.49,31932.47,28876.45,12797.81,27611.11,4828.88,16804.34,19413.84,16666.43,17640.82,15420.32,17827.10,32381.23,10552.43,15479.58,17640.82,16311.68,15879.24,16988.56,39371.03,17664.81,22039.43,7913.99,6105.55,16571.86,5816.05,22656.04,14254.66,6944.43,16818.98,27322.84,9987.68,16140.87,27491.20,16557.06,16538.23,20100.24,16571.86,16972.75,17222.78,16283.81,17890.91,15851.37,15661.22,27786.92,22159.34,29063.58,8342.24,17434.74,11131.42,27004.25,30933.20,11302.74,8684.88,20650.08,31822.82,19930.66,32429.68,34770.98,20324.71,19236.69,14858.70,16273.84,33690.53,14120.38,5087.49,32263.11,32329.83,32674.26,18690.83,17893.82,19070.64,18351.72,16256.18,19070.64,20031.74,19070.64,17942.26,25287.30,26392.92,22817.33,21709.02,20960.44,19096.82,18405.99,17071.08,16892.97,16633.80
Le Havre,14400.13,18804.29,15916.63,15916.63,14618.15,13550.48,14406.97,16176.52,13046.78,14676.40,557.19,18859.01,15090.51,14217.32,1016.27,507.52,15239.52,18924.21,18837.21,18004.31,798.24,19205.18,14576.55,12959.43,13867.33,17556.77,2196.06,3162.20,12956.47,7846.11,15330.63,11497.55,387.61,16118.32,5997.23,2384.47,10263.10,4222.58,6141.19,10951.80,17375.65,12184.73,4321.92,12959.43,13099.92,17283.09,13219.83,16756.41,0.00,22322.08,9655.01,2810.98,9160.85,14098.64,13749.67,5140.69,15097.81,3602.44,13219.83,818.82,13867.33,13155.60,2853.87,3981.02,19114.36,308.33,13656.60,17577.58,11842.03,9125.18,13139.33,15929.69,18785.80,5951.04,15118.38,6768.12,13526.94,9160.85,16169.40,8176.13,14780.44,3602.44,18619.18,6578.47,6141.19,1715.17,6628.14,15805.29,10243.75,15749.01,3331.78,13399.97,16176.52,3721.13,14638.22,6459.79,12196.45,10667.24,1396.07,12079.40,15749.01,19678.05,18804.29,19749.52,8229.33,5668.83,10045.07,14511.19,12076.54,9382.67,6739.02,13912.85,2386.21,13139.33,14506.82,13557.26,10243.75,13325.34,13411.73,6095.34,5300.06,10856.17,10062.12,18187.46,15131.44,4661.03,13866.10,12196.45,1007.24,5668.83,10102.04,10370.45,1786.65,3982.76,16906.25,15962.20,8750.13,10370.45,5577.96,8417.75,11996.60,23898.51,3820.47,5949.24,9111.33,10887.72,11369.17,11177.22,6942.64,11961.95,10089.48,11756.77,13577.84,7965.40,8498.25,13746.19,9435.76,9387.32,6355.23,11369.17,9842.87,2653.91,5719.68,9728.51,8208.76,8229.33,12311.94,6445.94,13588.60,8919.95,678.33,15749.01,13259.24,17123.48,15381.98,24569.27,3989.49,16347.84,6185.65,16954.70,19354.19,6579.70,3463.69,8294.31,10003.93,19162.80,7555.99,19857.11,18518.11,16854.85,18444.55,1934.43,1207.65,2314.23,4507.37,798.24,2314.23,6286.73,2314.23,1185.85,12902.42,11106.02,11876.40,12686.69,13335.93,10338.39,9428.75,8515.30,7845.49,6905.53
Melbourne,11477.30,12662.31,12431.85,12431.85,11625.08,11563.36,12294.38,12691.74,21258.17,12663.15,22130.70,13191.64,11465.25,12402.75,22110.12,22291.25,11824.99,12782.23,14046.84,13669.55,21892.10,11694.49,12253.74,11071.66,18914.84,39609.93,24079.63,25116.48,21167.86,24204.54,16956.88,32535.74,22171.34,11422.37,27646.43,24268.05,25246.43,26275.74,25909.45,21098.85,13890.87,16970.39,26375.08,11071.66,11212.14,27594.73,11162.47,37794.61,22322.08,0.00,25855.02,23416.74,26024.10,12085.39,11633.60,22242.32,11823.76,25655.60,11162.47,21912.67,18914.84,26722.95,24907.03,26034.18,11276.56,22490.44,21868.00,15805.62,25746.09,25863.55,19853.58,17094.34,13998.40,26198.95,11703.85,26647.26,19761.53,26024.10,37207.60,25178.43,11436.15,25655.60,13601.05,25977.96,25909.45,22706.72,26237.85,13154.35,24578.36,29316.36,25384.94,21184.91,12691.74,25774.29,11955.22,26169.34,33234.65,23651.17,21870.30,26747.05,29316.36,8755.18,12662.31,8207.02,25599.89,27086.27,25058.01,35549.39,33114.74,23044.82,25451.60,31019.02,24269.79,19853.58,12592.91,21768.66,24578.36,34363.54,11225.42,27744.54,27186.12,24249.00,25008.34,14836.06,17325.65,26542.15,24575.10,33234.65,21961.11,27086.27,31983.16,24700.01,23670.22,26035.92,13421.48,29275.21,26518.05,24700.01,22580.26,25718.07,23132.10,2193.09,25873.63,26940.79,30149.53,31925.92,23522.68,32215.42,27934.19,25515.29,31127.67,23161.71,24286.83,28301.17,25599.89,19203.11,26144.52,25926.50,28004.43,23522.68,25338.47,20910.48,22721.98,24589.90,25409.73,25599.89,11242.47,27437.49,11133.38,29958.15,21842.43,29316.36,19663.42,8640.53,28949.33,45607.47,25802.82,10929.94,27834.85,13469.92,11305.65,26458.84,20200.03,30175.43,24718.33,12511.57,29437.11,40826.07,13769.40,10451.52,13559.90,22925.98,21722.52,22776.46,26560.54,22131.93,23305.78,27935.92,23305.78,21910.94,13794.73,16453.63,16662.06,17472.36,18121.59,24878.17,25395.44,25517.60,24847.79,23907.83
Cartagena,18837.66,23241.82,20354.16,20354.16,19055.68,17988.01,18844.50,20614.05,20783.12,19113.93,10054.16,23771.14,19528.04,18654.85,10174.58,10162.53,19677.05,23361.74,23439.27,22441.84,9956.56,23642.71,19014.08,17396.96,21603.68,25193.78,9552.14,10588.98,20692.81,15582.45,23066.97,11587.70,10013.01,20555.86,13733.58,9699.92,944.80,11958.93,13877.54,18688.14,21813.18,9758.68,11958.93,17396.96,17537.45,21054.17,17657.36,16591.21,9655.01,25855.02,0.00,11969.30,1394.84,18536.17,18187.20,4514.32,19535.34,11438.13,17657.36,9286.75,21603.68,3767.06,10830.04,11618.02,23551.89,9753.12,21392.95,25268.29,2453.49,1064.71,20875.68,23666.03,23461.07,13687.38,19555.91,14504.46,21263.28,1394.84,16004.20,2074.91,19217.97,11438.13,23390.83,14314.81,13877.54,10873.49,14364.48,20242.82,1276.67,6360.47,11267.31,4936.58,20614.05,11457.47,19075.75,14196.13,12286.60,3592.64,10075.24,2661.25,6360.47,20963.20,23241.82,21034.67,1425.68,13405.18,797.02,14585.82,12166.69,17119.01,14475.37,17629.89,9461.32,20875.68,18944.35,21293.61,1276.67,13415.49,17849.26,13831.69,13036.41,3880.90,2165.73,24298.73,22867.78,8477.91,21602.45,12286.60,9335.19,13405.18,13819.07,2474.06,9212.97,11818.44,21343.79,6573.66,1466.32,2474.06,4372.61,1474.12,3129.36,27431.45,11656.15,15107.56,9201.49,10977.87,2501.93,11267.37,16100.95,2573.40,10179.63,2889.54,21314.18,6858.88,1156.76,21482.53,526.36,308.33,14091.58,2501.93,1805.99,7829.52,4204.25,2653.91,1446.25,1425.68,16749.47,15604.25,18026.14,9010.10,9836.64,6360.47,20995.59,18408.63,5993.44,24404.07,13644.50,20785.37,13921.99,21392.23,23791.72,14316.04,10446.52,12011.34,1177.33,23600.33,11273.03,18335.24,23868.75,21292.38,22882.08,11092.74,9927.46,11472.54,12343.06,8856.77,11472.54,14023.07,11472.54,10115.88,12200.78,13165.92,9590.32,8482.01,7733.43,3859.82,2990.82,2033.77,2703.58,3611.98
St Petersburg,15494.79,19898.95,17011.28,17011.28,15712.81,14645.14,15501.63,17271.17,15857.76,15771.06,2490.65,20428.27,16185.17,15311.98,2031.57,2780.15,16334.18,20018.86,20096.40,19098.97,2012.74,20299.84,15671.21,14054.09,16678.32,20367.76,5007.04,5973.18,15767.45,10657.09,18141.61,14308.53,2689.84,17212.98,8808.21,5195.46,12577.38,7033.56,8952.18,13762.78,18470.31,13279.39,7132.90,14054.09,14194.58,20094.08,14314.49,19567.39,2810.98,23416.74,11969.30,0.00,11475.13,15193.30,14844.32,7454.97,16192.46,6413.43,14314.49,3121.05,16678.32,15469.89,5664.85,6792.00,20209.02,2979.34,16467.58,20388.56,14156.32,11439.46,15950.31,18740.67,20118.20,8762.02,16213.04,9579.10,16337.92,11475.13,18980.38,10490.42,15875.10,6413.43,20047.96,9389.45,8952.18,1462.12,9439.12,16899.95,12558.04,18063.30,6142.77,15714.25,17271.17,6532.11,15732.88,9270.77,15007.43,12981.53,2298.04,14393.69,18063.30,20772.71,19898.95,20844.18,10543.62,8479.82,12359.36,17322.17,14887.52,12193.65,9550.00,16723.84,5197.19,15950.31,15601.48,16368.25,12558.04,16136.32,14506.39,8906.32,8111.05,13170.45,12376.40,20955.86,17942.42,7472.01,16677.09,15007.43,3169.49,8479.82,12913.02,12684.74,4597.63,6793.74,18000.91,18276.49,11064.42,12684.74,7892.25,10732.04,14310.88,24993.17,6631.45,6105.60,11922.32,13698.70,13683.45,13988.20,7098.99,14276.23,12900.46,14071.06,16388.82,10776.38,10812.54,16557.17,11750.04,11701.60,9166.22,13683.45,12157.15,4406.24,8033.96,12042.79,10523.04,10543.62,13406.59,6602.30,14683.26,11730.93,2132.65,18063.30,16070.23,18218.14,17696.27,27380.25,6291.72,17442.49,8996.63,18049.35,20448.85,9390.68,3844.91,11105.29,12318.21,20257.46,10366.98,22668.09,20525.87,17949.51,19539.21,1312.60,2080.02,1143.02,7318.36,3580.13,526.36,9097.71,1143.02,2031.57,13997.07,12200.68,12971.06,13781.35,14430.59,12652.67,11743.04,10829.58,10159.77,9219.81
Manzanillo (Mex),18343.50,22747.66,19859.99,19859.99,18561.52,17493.85,18350.34,20119.88,20288.96,18619.77,9560.00,23276.98,19033.88,18160.69,9680.42,9668.37,19182.89,22867.57,22945.11,21947.68,9462.40,23148.55,18519.92,16902.80,21109.51,24699.62,9057.98,10094.82,20198.65,15088.29,22572.81,11728.69,9518.85,20061.69,13239.41,9205.76,1564.94,11464.76,13383.38,18193.98,21319.02,9927.75,11464.76,16902.80,17043.29,21195.17,17163.20,16987.56,9160.85,26024.10,1394.84,11475.13,0.00,18042.01,17693.03,4020.16,19041.18,10943.96,17163.20,8792.59,21109.51,4556.78,10335.88,11123.86,23057.73,9258.96,20898.78,24774.13,3243.21,526.36,20381.51,23171.87,22966.91,13193.22,19061.75,14010.30,20769.12,50.00,16400.55,1183.39,18723.81,10943.96,22896.67,13820.65,13383.38,10379.33,13870.32,19748.66,1545.59,7150.19,10773.15,5105.66,20119.88,10963.31,18581.59,13701.97,12427.60,2814.97,9581.08,3483.04,7150.19,21132.27,22747.66,21203.74,1425.68,12911.02,1346.91,14742.34,12307.69,16624.85,13981.20,17770.88,8967.16,20381.51,18450.19,20799.44,1545.59,13556.49,17355.10,13337.52,12542.25,3103.23,1785.42,23804.57,22373.62,8519.06,21108.29,12427.60,8841.03,12911.02,13960.07,2093.75,8718.81,11324.28,20849.62,7363.38,1905.33,2093.75,3819.75,1444.51,3298.44,27600.52,11161.99,14613.40,9342.48,11118.87,2671.00,11408.37,15606.79,3363.13,10320.62,3058.61,20820.02,6999.88,916.93,20988.37,1374.27,1226.49,13597.42,2671.00,1425.68,7335.36,3511.41,1876.23,1136.18,1425.68,16255.30,15110.09,17531.97,9151.10,9342.48,7150.19,20501.43,18577.70,6783.16,24800.42,13150.33,20291.21,13427.83,20898.06,23297.56,13821.88,9952.36,12152.34,1305.76,23106.17,11414.02,19124.97,23374.58,20798.22,22387.92,10598.58,9433.30,10978.38,11848.90,8362.60,10978.38,13528.91,10978.38,9621.72,12369.85,13334.99,9759.40,8651.08,7902.51,2982.81,2073.18,1086.51,1812.06,2720.46
