Port,Containers
Hawaii,22094.29
Alaska,1527.77
North Pacific,1316964.35
Central Pacific,814966.55
South Pacific,7702695.81
East Gulf of Mexico,893215.9
West Gulf of Mexico,276645.8
Central Florida,803917.03
South Atlantic,2834936.36
North Atlantic,5224363.01
