Port,Containers,Capacity
1,3108627.742,3528600
2,2956870.857,2956870.857
3,1255704.705,1945000
4,818061.0229,1662400
5,683093.084,683093.084
6,707926.2524,1842300
7,584492.1545,857200
8,516555.5529,1059300
9,456414.5611,579600
10,364119.7248,651800
11,385731.4245,2237400
12,304345.3817,449600
13,299115.959,913600
14,308581.6949,447000
15,296827.4324,1405000
16,254876.7092,1245300
17,196418.0486,972900
18,200352.2181,789700
19,211466.2353,491700
20,151990.9534,151990.9534
21,159051.4622,255400
22,157742.8724,157742.8724
23,147301.0059,148000
24,162721.6656,274000
25,126016.4748,503400
26,118343.2492,368500
27,127665.1638,162138.1
28,116865.5834,217300
29,126508.902,262800
30,114225.614,180000
31,118955.0508,118955.0508
32,115495.5614,115495.5614
33,97361.0049,3386900
34,98945.30496,110626.7
35,93787.92058,93787.92058
36,87580.3599,162900
37,88679.36879,367300
38,87221.12086,166200
39,80139.74908,119600
40,84629.48433,445700
41,83271.98311,444200
42,76726.24608,90254.2
43,67905.15046,238554.2
44,72257.29186,72257.29186
45,75217.09322,1012800
46,79146.98698,277500
47,68204.74929,107747.8
48,74495.99867,199200
49,73641.86614,1616000
50,72115.60172,100000
51,67000.93431,255400
52,62606.34,121200
53,65661.29821,74802.9
54,55180.14783,58805.3
55,51939.22273,53700.27005
56,50174.60526,368000
57,45520.5067,237500
58,45016.16,140076
59,51673.88312,51673.88312
60,46867.63,47857.94
61,42605.98412,1475000
62,43023.99758,43023.99758
63,46007.0121,85110
64,42350.83,42350.83
65,50776.64038,92684.4
66,41674.15,409700
67,43301.63947,1073600
68,39587.85762,231800
69,38778.55021,294300
70,39795.21052,223700
71,41864.20013,133000
72,38841.26765,306200
73,38327.89106,106200
74,35632.22508,236874.1
75,39569.49738,39569.49738
76,34300.6392,200000
77,35513.6328,344500
78,33747.2044,100000
79,32991.59749,32991.59749
80,34058.50671,35213.29184
81,28246.37,32300
82,32674.58596,224700
83,38415.88215,266400
84,29569.32383,59335.9
85,31441.49543,31441.49543
86,28039.00193,45617.6
87,31243.79,31243.79
88,28398.33781,29426.51342
89,28877.12221,41764.2
90,35115.35218,82693.5
91,26213.00405,27999.1
92,26726.85795,105874.7
93,25407.29202,70836.5
94,26194.43889,26194.43889
95,31308.67779,38920.9
96,20713.47,66713.5
97,24458.34497,53651.8
98,23386.95313,82159.1
99,26417.78758,121318.7
100,24622.98683,24622.98683
101,22160.5044,72678.5
102,20678.26678,20678.26678
103,26959.38641,26959.38641
104,21519.67023,148400
105,22778.61269,500500
106,22138.02936,22888.63969
107,19114.22751,19114.22751
108,20958.67811,28350
109,21927.25,303000
110,17574.30113,64736.9
111,20674.84,140000
112,21450.82565,50000
113,22916.76412,189400
114,17704.95325,22817.3
115,16293.22,16293.22
116,25210.2479,84359
117,16873.35792,17700
118,16721.68652,93161.3
119,15961.41898,17499.66273
120,15726.80322,38268.1
121,17828.35,17828.35
122,14665.13,14933.9
123,12349.84838,41835.9
124,15870.01014,303600
125,11572.78,81129.7
126,15065.34085,72282.6
127,13626.45133,21448.3
128,11976.54,13418
129,17179.42189,17179.42189
130,12135.72521,215300
131,12365.14,22000
132,17812.11,17845.2
133,15002.31872,50000
134,11083.30366,12251.91
135,7999.232347,420000
136,14065.19,76700
137,13720.56732,13720.56732
138,16649.69372,16649.69372
139,12020.08785,76612.7
140,13051.20166,160712.2
141,8994.31,10033.93
142,9121.313962,9894.005472
143,11453.99087,98375.6
144,11168.19071,11168.19071
145,10768.79456,61200
146,7510.212272,16003.4
147,8778.714567,8778.714567
148,11945.49721,11945.49721
149,8508.8,8572.21
150,7414.051206,8013.869388
151,8636.14,18000
152,7197.560923,125000
153,8042.31,8042.31
154,7251.881592,335400
155,7389.20862,236100
156,17764.56669,140603
157,5531.52,13845.9
158,9215.209045,9215.209045
159,20016.98483,43824.4
160,6454.9441,84485.6
161,6861.990955,6861.990955
162,6305.906212,6878.13692
163,6165.203208,6165.203208
164,7068.428972,17928.8
165,14353.90555,256410.2
166,6149.969678,155200
167,5479.403941,5976.633538
168,7754.81,7754.81
169,15417.3056,323635.5
170,5714.439633,216100
171,6752.342556,14888
172,6838.289513,6838.289513
173,5197.311077,5223.27648
174,6344.48,53000
175,4003.18,4872.01
176,4250.194474,4861.362842
177,4314.25,10000
178,697.5058792,425600
179,3711.68499,291290
180,488.19,286900
181,2467.01,184017.3
182,1550.257653,165500
183,8148.41942,159100
184,3323.145158,153600
185,1076.75228,152000
186,245.8915903,151400
187,2560.638982,126600
188,5451.114774,116030
189,2912.097437,100000
190,2364.96,99460.1
191,3034.276717,91153.3
192,6381.306311,81278.3
193,249.1591103,78234.6
194,3294.01,77314.1
195,1406.258408,76088.3
196,3181.544174,75000
197,11829.02,75000
198,835.52,61716.9
199,1774.76,60000
200,1037.84,60000
