Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Chiwan,Algeciras,Valencia,Khawr Fakkan,Jeddah,Colombo,Santos,Felixstowe,Manila,Constantinopole,Tanger,Balboa,Gioia Tauro,Port Said,Mina Raysut,Shilong,Vancouver,Marsaxlokk,Yokohama Ko,Nagoya Ko,Durban,Kobe,Colon,Le Havre,Melbourne,Cartagena,St Petersburg,Manzanillo (Mex),Yantai,Gwangyang Hang,Sydney,Fuzhou,Genova,Osaka,Dublin,Mumbai,Puerto Del Callao,Barcelona,Rades,Surabaja,Southampton,Dammam,Chittagong,Guayaquil,Kingston,Karachi,Chennai,Bangkok,Alexandria,Taichung,Mersin,Mundra,Manzanillo (Pan),Buenos Aires,South Riding Point,Taipei,La Spezia,Pulau Pinang,Ashdod,Damietta,Gdynia,Haifa,Nanjing,Puerto Moin,Puerto San Antonio,Marseille,Lazaro Cardenas,Da Chan Bay,Cagliari,Jiangyin,Beirut,Itajai,Veracruz,Goteborg,Buenaventura,Valparaiso,Tauranga,Pasir Gudang,Auckland,Caucedo,Izmir,Cristobal,Montevideo,Paranagua,Djibouti,Al Aqabah,Cape Town,Casablanca,Qasim,Qinhuangdao,Doha,Puerto Limon,Rio Grande,Hakata,Gemlik,Piraievs,Altamira,Puerto Cortes,Thilawa,Tuticorin,Dakar,Dar es Salaam,Navegantes,Liverpool,Aliaga,Douala,Santo Tomas,Sines,Napoli,Hai Phong,Bahia San Vicente,Port sudan,Puerto Cabello,Puerto Barrios,Halifax,Haina,Toamasina,Porto De Suape,Puerto Quetzal,Port Adelaide,Port Lyttelton,Livorno,Vienna,Civitavecchia,Port of Spain,Limassol,Ilheus,Port De Salvador,Rio de Janeiro,Napier,Puerto Caldera,Naha Ko,Sepetiba Bay,Rada De Arica,Point Lisas,Budapest,Panama City,Paita,La Guaira,Pointe A Pitre,Vitoria,Acajutla,Mombasa,Pecem,Port Au Prince,Pipavav Bandar,Port Chalmers,Santa Marta,Fort De France,Barranquilla,Nassau,Varna,Corinto,Paramaribo,Puerto Castilla,Reykjavik,St John,Tarragona,constanta,Bridgetown,Durres,Mucuripe,Vila do Conde,Antofagasta,Monrovia,Progreso,Sao Francisco,Puerto Bolivar,Puerto Plata,Georgetown,Cayman Brac,Santo Domingo,Sendai,Bratislava,Shimizu,Beira,Maracaibo,Belize City,Castries,Imbituba,Kheyrabad,Guanta,Parham Harbour,St John's,Vieux Fort,Pago Pago Harbor,All Other Brazil Ports South of Recife,Charlotte Amalie,Road Harbor,All Other Panama West Coast Region Ports,Eemshaven,All Other Chile Ports,All Other Malta Ports,Christiansted,Itaqui,All Other Guatemala West Coast Region Ports,Turbo,All Other China (Taiwan) Ports,All Other India West Coast Ports,All Other Fiji Islands Ports,Coquimbo,Salerno,Elizabeth,Noumea,Asuncion,Kleinhuningen,Puerto De Bilbao,Cebu,All Other Domicican Republic Ports,El-Adabiya,Savu Harbor,Leixoes,All Other Mexico West Coast Region Ports,Port Elizabeth,Izmit,All Other Japan Ports,All Other Vietnam Ports,All Other Malaysia Ports,Semarang,All Other Turkey Mediterranean Ports,Zhanjiang,Dunkerque,All Other Norway Ports,Cochin,All Other Bermuda Ports,Tema,Zhuhai,Hankow,All Other Nicaragua Caribbean Region Ports,Hamilton,Prince Rupert,Quanzhou,Puerto Caldera (Chile),Venezia,All Other Sweden Ports,Huangpu,Palembang,Mogi,Abidjan,San Pedro,Puerto De Morales,All Other Egypt Mediterranean Region Ports,Richards Bay,Guantanamo,All Other Thailand Ports,Da Nang,Tamsui,Lagos,All Other United Arab Emirates Ports,Yangshan,All Other Brazil Ports North Of Recife,Nantong,Palermo,Belawan,Calcutta,All Other Pakistan Ports,Lisboa,Davao,Ancona,All Other Oman Ports,Bremen,All Other Mexico East Coast Region Ports,All Other Bahamas Ports,Kowloon,Malaga,Thessaloniki,Basseterre,All Ports in Cambodia,Tilbury,Vishakhapatnam,Philipsborough,Zhongshan,Victoria PEI,Klaipeda,Papeete,Aarhus,Providenciales,Vigo,Oranjestand,All Other Sicily Ports,Rauma,Koper,Swatow,Bullen Baai,Helsingborg,Novorossiysk,Grangemouth,Yuzhnyy,Thamesport,Brisbane,Tomakomai Ko,Ringaskiddy,Kingstown,Apia,Tallinn,Grand Turks,Rouseau,Port Louis,Malabo,Riga,Trieste,Abaco-Snake Cay,Fremantle,St George,Fredericia,Teluk Bayur,Port Rhoades,Bimini Island,Emden,Subic Bay,Exuma,Charlestown,Fang-Cheng,Kota Kinabalu,Mizushima,Pulau Bukom,Agadir,Oita Ko,Samarinda,Clarence Town,Luanda,Ensenada,Greatstirrup Cay,Szczecin,Cat Cays,Andros Island,King Fahd,Blowing Point,Cotonou,Aguirre,Gaborone,Muara,Ouagadougou,Canary Island,Novo,N'Djamena,Moroni,Matadi,Yap,Degrad des Cannes,Gentil,Banjul,Nuuk,Kharg Island,Benghazi,Macau,Male,Bamako,Majuro,Nouakchott,Ulaanbaatar,Montserrat,Walvis Bay,Kolkata,Nampo,Malakal Island,Port Moresby,Le Port,Gustavia,Victoria (Seychelles),Freetown,Mogadishu,St Helena,Latakia,Lome,Nukualofa,Bell,Aden,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Shanghai,0.00,4602.84,1715.17,1715.17,218.02,1086.51,887.32,1975.07,12379.88,1326.34,14208.74,5132.16,1087.74,1136.18,14188.17,14369.30,1038.07,4722.75,4800.29,3802.86,13970.15,5003.73,846.69,2273.59,10036.55,31687.98,16157.68,17194.52,12289.57,15326.25,8177.92,24616.25,14249.38,2115.55,18768.14,16346.10,18972.14,18353.79,17031.16,12220.55,3174.20,10696.10,18453.13,2273.59,2004.67,18716.44,1814.51,29875.11,14400.13,11477.30,18837.66,15494.79,18343.50,748.57,916.93,14422.67,896.36,17733.65,1814.51,13990.72,10036.55,20448.66,16985.08,18112.23,5111.59,14568.48,12989.70,6629.31,19471.80,18307.83,10975.28,7918.03,4822.09,17320.66,916.93,17768.97,10883.24,18343.50,29288.10,17358.78,578.99,17733.65,4751.85,17099.67,17031.16,14784.77,17359.56,1677.05,18304.07,23042.07,17462.99,14910.62,1975.07,17852.34,477.92,17291.05,25315.15,17376.88,13948.34,20472.76,23042.07,12707.50,4602.84,12536.69,17780.24,18207.98,18783.72,27629.89,25195.24,14166.52,16573.31,22140.72,16347.84,10975.28,1256.09,12890.36,18304.07,26444.04,1087.74,18866.25,18307.83,17974.71,18734.05,5659.75,8277.77,18622.66,15696.81,25315.15,14039.16,18207.98,24063.66,18425.72,15748.27,18113.96,2704.80,23000.92,15177.24,18698.40,18425.72,14760.61,17898.42,14413.41,21290.08,16857.81,13053.73,13179.86,17951.67,19018.84,18021.92,18714.22,17340.72,22518.30,22230.04,24006.42,13235.09,17248.39,839.39,24295.92,22246.85,18874.77,20012.23,18371.58,19241.00,18677.83,17987.44,23208.18,16887.42,15408.54,20381.67,17780.24,10324.82,13479.73,18717.75,18206.70,18569.97,17429.03,19126.14,17248.39,19161.24,19025.52,12988.53,14902.33,17173.44,19246.05,18306.04,18791.07,20501.58,19797.92,22475.13,20337.83,18315.61,25315.15,18479.15,17590.09,14492.92,17610.66,17780.24,2684.23,19515.54,1405.10,17298.06,18866.76,18952.07,18206.70,25483.51,24245.69,18657.25,17867.53,17867.53,18326.61,10993.79,22038.65,17788.77,17788.77,18972.14,13920.48,23042.07,18453.13,17788.77,20198.81,16379.90,19314.27,1087.74,10785.13,10748.97,22675.04,18331.99,20163.92,9846.40,37687.97,17880.87,15119.61,2345.06,17540.42,16861.58,4878.55,15388.53,15561.08,20163.92,18956.56,3035.45,2753.24,3894.18,5152.74,17580.55,2343.84,14180.88,12278.08,8857.99,16101.46,22255.93,1884.76,6726.91,18444.04,16101.46,9714.99,1056.91,22526.03,18728.89,15357.70,1975.07,4961.35,967.83,21517.62,32975.81,18863.77,17320.66,18377.27,18018.33,4652.51,2704.80,846.69,15868.18,12431.29,50.00,20270.79,169.58,18261.74,5229.77,7107.23,11681.48,15748.27,3091.90,18638.58,12220.55,14188.17,17546.46,17449.60,1715.17,16375.70,18646.99,17937.77,4243.10,14538.88,7587.39,17768.19,1884.76,14542.59,15004.02,14462.75,13800.56,17370.83,15388.53,18429.48,18542.21,14854.51,18638.58,1346.40,18528.82,14018.59,19784.40,13620.72,19556.12,14230.55,8373.35,2794.39,14209.97,18326.61,10944.12,15383.83,17420.50,18157.03,17987.44,23604.58,15383.83,18638.58,17309.11,7897.46,16101.46,13988.98,6067.42,18239.32,17528.37,13920.48,1995.64,17449.60,17937.77,2683.00,3006.35,1744.27,4602.84,16587.66,1235.52,4142.02,17519.84,25082.39,12275.55,17478.70,14616.42,17478.70,17598.61,15754.49,17768.19,22665.34,42525.26,28492.32,3224.38,28815.00,17005.59,18370.78,36932.94,15179.54,26250.69,3386.66,19120.10,23825.06,18910.92,12507.59,13179.86,18567.72,1884.76,9118.39,26665.09,7374.36,18471.91,15394.75,17937.77,23975.81,7107.23,1107.09,6831.52,6261.62,13733.29,17817.86,12455.39,19660.73,14248.82,22886.33,17509.08,22545.43,6654.88,28324.80,13757.12,10003.93,9617.39,10387.77,11198.07,11847.30,18603.88,18611.40,17697.95,17028.14,16088.18
Singapore,4602.84,0.00,3154.13,3154.13,4651.28,5490.67,5490.17,3244.44,8595.86,5929.18,18612.91,529.32,3713.78,5739.02,18592.33,18773.46,3564.77,119.91,1694.60,1486.89,18374.31,967.83,5449.53,6677.75,6252.53,28020.29,17572.53,16872.40,8505.55,11542.22,4294.56,27874.48,18653.55,3291.09,14984.11,17620.98,23376.30,15165.75,13247.14,8436.53,4233.35,15100.26,15265.09,6677.75,6408.83,14932.42,6218.68,33133.34,18804.29,12662.31,23241.82,19898.95,22747.66,5351.42,5321.09,18826.84,4042.69,16083.91,6218.68,18394.88,6252.53,24852.82,16534.46,15842.85,1947.71,18972.65,9205.68,3213.55,23875.96,22711.99,7191.26,4432.03,1646.16,13536.63,3882.13,13984.94,7099.22,22747.66,32546.33,21762.94,4023.85,16083.91,938.73,13315.64,13247.14,19188.93,13575.54,6279.89,22708.23,27446.23,16492.09,19314.78,3244.44,15863.43,5080.76,13507.03,28573.38,21781.04,18352.51,24876.92,27446.23,15425.82,50.00,15255.01,22184.41,14423.96,23187.88,30888.12,28453.47,10382.50,12789.29,18356.70,18031.61,7191.26,5858.94,9106.34,22708.23,29702.27,5491.90,15082.22,14523.81,22378.87,23138.21,2413.57,4663.33,20616.50,11912.79,28573.38,18443.32,14423.96,23715.41,22829.88,17981.94,15504.91,2775.05,27405.09,11393.21,23102.56,22829.88,19164.77,22302.58,10530.05,24548.31,21261.98,10735.69,15898.18,16132.35,19469.34,15933.16,23118.38,13556.70,25776.53,25488.27,27264.65,15953.40,21652.55,4751.85,27554.15,26651.01,23278.93,20056.35,22775.74,23645.17,23081.99,22391.61,26466.41,21291.58,11624.52,24342.33,22184.41,6540.80,16198.04,23121.91,22610.86,22974.13,21833.19,15342.12,21652.55,23565.41,23429.68,17392.69,19306.49,16752.49,15462.03,22710.20,15292.96,24392.00,24202.08,26879.29,22331.68,22719.77,28573.38,22883.31,21994.25,18897.08,22014.82,22184.41,7088.39,19559.65,5809.27,13514.03,23270.92,23356.23,22610.86,28741.74,20461.66,23061.42,22271.69,22271.69,22730.77,15116.98,25296.88,22192.93,22192.93,23376.30,18324.64,27446.23,15265.09,22192.93,24602.97,20784.06,23718.43,3713.78,7001.10,13607.78,27079.20,15553.36,16379.90,12564.71,40946.20,19287.20,18470.17,3461.90,21944.58,13077.56,4224.32,18441.02,19965.24,16379.90,15172.53,7439.61,2963.47,1326.34,1637.64,13796.53,2963.98,18585.04,16682.24,5073.97,20505.62,24249.78,2984.55,10327.84,22848.21,20505.62,14119.16,3782.79,26930.19,16082.17,19761.86,3244.44,557.19,5371.99,23511.46,36234.04,23267.93,13536.63,14593.25,22422.49,1476.58,2266.30,4121.96,17862.03,8647.26,4602.84,24553.06,4772.42,15593.99,1107.09,3621.22,7897.46,17981.94,4010.57,15962.26,8436.53,18592.33,21950.62,21853.76,3154.13,17591.37,14862.97,22341.94,1207.65,18943.04,4101.39,22172.35,2984.55,18946.75,19408.19,18866.91,18204.73,21775.00,18441.02,22833.64,15313.53,19258.67,15962.26,3493.30,22932.98,18422.75,16000.38,18024.88,15772.10,18634.71,10992.33,7198.55,18614.14,22730.77,14997.06,19787.99,21824.67,22561.19,22391.61,23595.50,19787.99,15962.26,21713.28,4668.33,20505.62,18393.15,1505.73,22643.48,21932.53,18324.64,3241.42,21853.76,22341.94,2993.07,2175.48,6148.43,50.00,18370.78,5639.68,2885.21,21924.01,22049.91,16679.71,21882.86,19020.58,21882.86,22002.77,11970.47,22172.35,24282.35,46929.42,24708.29,2223.92,30808.85,19069.68,20926.57,35537.71,11395.52,23627.61,5806.96,23524.26,22968.06,20904.77,16911.76,9395.84,14783.70,2984.55,5235.03,28658.93,10935.60,20465.76,19997.59,22341.94,20191.79,3621.22,5709.93,11235.68,8585.54,9750.59,22222.02,8671.37,21654.57,10464.80,24468.74,13725.05,24332.02,11059.04,24540.78,9973.09,14408.09,14021.55,14791.93,15602.23,16251.46,23008.04,23015.56,22102.11,21432.30,20492.34
Yantian,1715.17,3154.13,0.00,35.87,1763.61,2603.01,2602.50,526.36,10931.17,3041.51,15725.24,3683.45,966.60,2851.36,15704.67,15885.79,677.10,3274.05,3351.58,2354.15,15486.64,3555.02,2561.86,3790.09,8587.84,30355.60,17674.18,18711.02,10840.86,13877.54,6729.22,26132.74,15765.88,1585.00,17319.43,17862.59,20488.63,17501.06,15582.45,10771.85,1725.49,12212.60,17600.40,3790.09,3521.16,17267.73,3331.01,31391.60,15916.63,12431.85,20354.16,17011.28,19859.99,2463.75,2433.42,15939.17,1155.02,18419.22,3331.01,15507.22,8587.84,21965.15,18501.57,18178.17,4014.10,16084.98,11540.99,5180.60,20988.30,19824.32,9526.57,6469.32,3373.38,15871.95,1035.10,16320.26,9434.53,19859.99,30804.60,18875.28,1136.18,18419.22,3303.14,15650.96,15582.45,16301.27,15910.85,3392.22,19820.56,24558.57,18827.40,16427.11,526.36,18198.74,2193.09,15842.34,26831.65,18893.37,15464.84,21989.26,24558.57,13662.05,3154.13,13491.24,19296.74,16759.27,20300.21,29146.39,26711.74,12717.82,15124.60,20692.01,17864.33,9526.57,2971.27,11441.66,19820.56,27960.54,2604.24,17417.54,16859.12,19491.20,20250.54,4211.04,6829.06,20139.15,14248.10,26831.65,15555.66,16759.27,25580.16,19942.21,17264.77,17840.23,1256.09,24517.42,13728.53,20214.90,19942.21,16277.11,19414.91,12964.70,22806.57,18374.31,13012.81,14134.41,18467.66,20535.34,18268.47,20230.71,15892.01,24034.80,23746.53,25522.92,14189.63,18764.88,1864.18,25812.41,23763.34,20391.26,21528.73,19888.07,20757.50,20194.32,19503.94,24724.67,18403.91,13959.83,21898.16,19296.74,8876.11,14434.27,20234.24,19723.19,20086.46,18945.52,17677.43,18764.88,20677.74,20542.01,14505.03,16418.82,18689.93,17797.34,19822.53,17628.27,22018.08,21314.41,23991.63,21854.33,19832.10,26831.65,19995.64,19106.58,16009.41,19127.16,19296.74,4200.72,21032.03,2921.60,15849.35,20383.25,20468.57,19723.19,27000.00,22796.98,20173.75,19384.03,19384.03,19843.11,12229.31,23555.15,19305.26,19305.26,20488.63,15436.97,24558.57,17600.40,19305.26,21715.30,17896.39,20830.76,966.60,9336.42,11703.52,24191.53,17888.67,18715.21,10800.94,39204.47,19397.36,16636.10,2095.49,19056.91,15412.87,4348.00,16905.03,17077.58,18715.21,17507.85,4551.94,1304.54,2743.49,3704.03,16131.84,895.13,15697.37,13794.58,7409.29,17617.95,23772.43,436.05,7440.17,19960.54,17617.95,11231.49,895.13,24042.52,18417.48,16874.19,526.36,3512.64,2484.32,23034.11,34492.30,20380.26,15871.95,16928.57,19534.83,3203.80,1256.09,1234.29,17384.68,10982.58,1715.17,21787.28,1884.76,17929.31,3781.06,5658.52,10232.77,17264.77,3041.51,18297.57,10771.85,15704.67,19062.95,18966.10,50.00,17892.20,17198.29,19454.27,2794.39,16055.37,6138.68,19284.69,436.05,16059.08,16520.52,15979.24,15317.06,18887.33,16905.03,19945.97,17648.84,16371.00,18297.57,605.63,20045.31,15535.08,18335.70,15137.22,18107.41,15747.04,9327.90,4310.89,15726.47,19843.11,12109.40,16900.32,18937.00,19673.52,19503.94,25121.08,16900.32,18297.57,18825.61,6945.45,17617.95,15505.48,4618.71,19755.82,19044.86,15436.97,1424.45,18966.10,19454.27,1234.29,2054.34,3260.76,3154.13,18104.16,2752.02,3260.26,19036.34,24385.22,13792.04,18995.19,16132.91,18995.19,19115.10,14305.78,19284.69,24181.84,44041.75,27043.61,2272.36,30331.50,18522.09,19887.27,37873.02,13730.83,25962.93,4043.19,20636.59,25303.38,20427.42,14024.09,11731.15,17119.01,436.05,7669.69,28181.58,8328.90,19988.41,17109.93,19454.27,22527.10,5658.52,2822.26,8348.02,7116.82,12284.58,19334.36,11006.68,21177.22,12800.11,24402.83,16060.37,24061.92,8171.37,26876.09,12308.41,11520.42,11133.89,11904.26,12714.56,13363.80,20120.37,20127.90,19214.44,18544.63,17604.67
Hong Kong,1715.17,3154.13,35.87,0.00,1763.61,2603.01,2602.50,526.36,10931.17,3041.51,15725.24,3683.45,966.60,2851.36,15704.67,15885.79,677.10,3274.05,3351.58,2354.15,15486.64,3555.02,2561.86,3790.09,8587.84,30355.60,17674.18,18711.02,10840.86,13877.54,6729.22,26132.74,15765.88,1585.00,17319.43,17862.59,20488.63,17501.06,15582.45,10771.85,1725.49,12212.60,17600.40,3790.09,3521.16,17267.73,3331.01,31391.60,15916.63,12431.85,20354.16,17011.28,19859.99,2463.75,2433.42,15939.17,1155.02,18419.22,3331.01,15507.22,8587.84,21965.15,18501.57,18178.17,4014.10,16084.98,11540.99,5180.60,20988.30,19824.32,9526.57,6469.32,3373.38,15871.95,1035.10,16320.26,9434.53,19859.99,30804.60,18875.28,1136.18,18419.22,3303.14,15650.96,15582.45,16301.27,15910.85,3392.22,19820.56,24558.57,18827.40,16427.11,526.36,18198.74,2193.09,15842.34,26831.65,18893.37,15464.84,21989.26,24558.57,13662.05,3154.13,13491.24,19296.74,16759.27,20300.21,29146.39,26711.74,12717.82,15124.60,20692.01,17864.33,9526.57,2971.27,11441.66,19820.56,27960.54,2604.24,17417.54,16859.12,19491.20,20250.54,4211.04,6829.06,20139.15,14248.10,26831.65,15555.66,16759.27,25580.16,19942.21,17264.77,17840.23,1256.09,24517.42,13728.53,20214.90,19942.21,16277.11,19414.91,12964.70,22806.57,18374.31,13012.81,14134.41,18467.66,20535.34,18268.47,20230.71,15892.01,24034.80,23746.53,25522.92,14189.63,18764.88,1864.18,25812.41,23763.34,20391.26,21528.73,19888.07,20757.50,20194.32,19503.94,24724.67,18403.91,13959.83,21898.16,19296.74,8876.11,14434.27,20234.24,19723.19,20086.46,18945.52,17677.43,18764.88,20677.74,20542.01,14505.03,16418.82,18689.93,17797.34,19822.53,17628.27,22018.08,21314.41,23991.63,21854.33,19832.10,26831.65,19995.64,19106.58,16009.41,19127.16,19296.74,4200.72,21032.03,2921.60,15849.35,20383.25,20468.57,19723.19,27000.00,22796.98,20173.75,19384.03,19384.03,19843.11,12229.31,23555.15,19305.26,19305.26,20488.63,15436.97,24558.57,17600.40,19305.26,21715.30,17896.39,20830.76,966.60,9336.42,11703.52,24191.53,17888.67,18715.21,10800.94,39204.47,19397.36,16636.10,2095.49,19056.91,15412.87,4348.00,16905.03,17077.58,18715.21,17507.85,4551.94,1304.54,2743.49,3704.03,16131.84,895.13,15697.37,13794.58,7409.29,17617.95,23772.43,436.05,7440.17,19960.54,17617.95,11231.49,895.13,24042.52,18417.48,16874.19,526.36,3512.64,2484.32,23034.11,34492.30,20380.26,15871.95,16928.57,19534.83,3203.80,1256.09,1234.29,17384.68,10982.58,1715.17,21787.28,1884.76,17929.31,3781.06,5658.52,10232.77,17264.77,3041.51,18297.57,10771.85,15704.67,19062.95,18966.10,50.00,17892.20,17198.29,19454.27,2794.39,16055.37,6138.68,19284.69,436.05,16059.08,16520.52,15979.24,15317.06,18887.33,16905.03,19945.97,17648.84,16371.00,18297.57,605.63,20045.31,15535.08,18335.70,15137.22,18107.41,15747.04,9327.90,4310.89,15726.47,19843.11,12109.40,16900.32,18937.00,19673.52,19503.94,25121.08,16900.32,18297.57,18825.61,6945.45,17617.95,15505.48,4618.71,19755.82,19044.86,15436.97,1424.45,18966.10,19454.27,1234.29,2054.34,3260.76,3154.13,18104.16,2752.02,3260.26,19036.34,24385.22,13792.04,18995.19,16132.91,18995.19,19115.10,14305.78,19284.69,24181.84,44041.75,27043.61,2272.36,30331.50,18522.09,19887.27,37873.02,13730.83,25962.93,4043.19,20636.59,25303.38,20427.42,14024.09,11731.15,17119.01,436.05,7669.69,28181.58,8328.90,19988.41,17109.93,19454.27,22527.10,5658.52,2822.26,8348.02,7116.82,12284.58,19334.36,11006.68,21177.22,12800.11,24402.83,16060.37,24061.92,8171.37,26876.09,12308.41,11520.42,11133.89,11904.26,12714.56,13363.80,20120.37,20127.90,19214.44,18544.63,17604.67
Ningbo,218.02,4651.28,1763.61,1763.61,0.00,1304.54,1105.35,2023.51,12428.32,1544.36,14426.77,5180.60,1136.18,1354.21,14406.19,14587.32,1086.51,4771.20,4848.73,3851.30,14188.17,5052.17,1064.71,2491.62,10084.99,31852.75,16375.70,17412.55,12338.01,15374.69,8226.37,24834.27,14467.41,2163.99,18816.58,16564.12,19190.16,18571.81,17079.60,12269.00,3222.64,10914.13,18671.15,2491.62,2222.69,18764.88,2032.54,30093.13,14618.15,11625.08,19055.68,15712.81,18561.52,966.60,1134.95,14640.70,944.80,17951.67,2032.54,14208.74,10084.99,20666.68,17203.10,18330.25,5160.03,14786.51,13038.14,6677.75,19689.82,18525.85,11023.72,7966.47,4870.53,17369.10,965.37,17817.41,10931.68,18561.52,29506.13,17576.81,627.43,17951.67,4800.29,17148.11,17079.60,15002.79,17408.00,1895.07,18522.09,23260.09,17681.01,15128.64,2023.51,18070.36,695.94,17339.49,25533.18,17594.90,14166.37,20690.79,23260.09,12855.28,4651.28,12684.47,17998.27,18256.42,19001.74,27847.92,25413.26,14214.97,16621.75,22189.16,16565.86,11023.72,1474.12,12938.81,18522.09,26662.07,1305.76,18914.69,18356.27,18192.73,18952.07,5708.19,8326.21,18840.68,15745.25,25533.18,14257.19,18256.42,24281.69,18643.74,15966.29,18331.99,2753.24,23218.95,15225.68,18916.43,18643.74,14978.64,18116.44,14461.85,21508.10,17075.84,13201.51,13327.64,18169.70,19236.87,18239.94,18932.24,17389.16,22736.33,22448.06,24224.45,13382.87,17466.41,987.17,24513.94,22464.87,19092.79,20230.26,18589.60,19459.03,18895.85,18205.47,23426.20,17105.44,15456.98,20599.69,17998.27,10373.26,13627.51,18935.77,18424.72,18787.99,17647.05,19174.58,17466.41,19379.27,19243.54,13206.55,15120.35,17391.46,19294.49,18524.06,19009.09,20719.61,20015.94,22693.15,20555.86,18533.63,25533.18,18697.17,17808.11,14710.94,17828.69,17998.27,2902.25,19733.56,1623.13,17346.50,19084.78,19170.10,18424.72,25701.53,24294.13,18875.28,18085.56,18085.56,18544.63,11141.57,22256.68,18006.79,18006.79,19190.16,14138.50,23260.09,18671.15,18006.79,20416.83,16597.92,19532.29,1136.18,10833.57,10896.75,22893.06,18550.01,20212.36,9994.18,37906.00,18098.89,15337.63,2393.51,17758.44,16910.02,4926.99,15606.56,15779.10,20212.36,19005.00,3253.47,2801.69,3942.63,5201.18,17628.99,2392.28,14398.90,12496.11,8906.43,16319.48,22473.96,1933.20,6944.94,18662.07,16319.48,9933.02,1105.35,22744.05,18946.92,15575.72,2023.51,5009.79,1185.85,21735.64,33193.83,19081.79,17369.10,18425.72,18236.36,4700.95,2753.24,895.13,16086.21,12479.73,218.02,20488.81,387.61,18479.77,5278.21,7155.67,11729.92,15966.29,3140.34,18856.61,12269.00,14406.19,17764.48,17667.62,1763.61,16593.73,18695.44,18155.80,4291.54,14756.90,7635.83,17986.22,1933.20,14760.61,15222.05,14680.77,14018.59,17588.86,15606.56,18647.50,18760.23,15072.53,18856.61,1394.84,18746.84,14236.61,19832.85,13838.75,19604.56,14448.57,8521.13,3012.42,14428.00,18544.63,11091.90,15601.85,17638.53,18375.05,18205.47,23822.61,15601.85,18856.61,17527.14,7945.90,16319.48,14207.01,6115.86,18457.35,17746.39,14138.50,2044.08,17667.62,18155.80,2731.44,3054.79,1962.29,4651.28,16805.69,1453.55,4190.47,17737.87,25300.41,12493.57,17696.72,14834.44,17696.72,17816.63,15802.93,17986.22,22883.37,42743.28,28540.76,3272.82,29033.03,17223.62,18588.80,37150.97,15227.98,26468.71,3435.11,19338.12,24043.09,19128.95,12725.62,13228.30,18616.16,1933.20,9166.84,26883.11,7522.14,18689.93,15612.78,18155.80,24024.25,7155.67,1325.11,7049.55,6310.06,13781.73,18035.89,12503.83,19878.75,14297.26,23104.36,17557.52,22763.45,6872.90,28373.24,13805.56,10221.95,9835.42,10605.79,11416.09,12065.33,18821.90,18829.43,17915.97,17246.16,16306.20
