Port,Containers
Hawaii,54735.00
Alaska,3784.80
North Pacific,3,262564.28
Central Pacific,2018946.64
South Pacific,19082171.97
East Gulf of Mexico,2212796.64
West Gulf of Mexico,685344.83
Central Florida,1917294.23
South Atlantic,7023092.24
North Atlantic,4990337.04
