Port,Containers,Capacity
Port Lyttelton,2760.800079,36710
Pulau Pinang,2699.922876,126600
All Other China (Taiwan) Ports,2651.02518,2651.02518
Turbo,2639.411476,2639.411476
Porto De Suape,"2,586",39816.6
Savu Harbor,2514.348693,2514.348693
Da Nang,2509.090499,2509.090499
Guantanamo,2458.25,2458.25
Ilheus,2395.897254,28700
All Other Sweden Ports,2392.199548,2392.199548
Puerto Caldera (Chile),2389.584336,2389.584336
Cochin,2302.836031,2302.836031
Thilawa,2291.3,61716.9
Beira,"1,313",4677.5
Sao Francisco,"2,142",6680.2
All Other Mexico West Coast Region Ports,2095.854438,2095.854438
Bangkok,2061.040698,153600
Monrovia,"2,016",7500
Novorossiysk,1897.456173,1897.456173
Zhanjiang,1871.613976,1871.613976
Lagos,1865.09,1865.09
Dar es Salaam,1815.05,60000
Cristobal,1746.434158,81278.3
Antofagasta,"1,743",7746.7
All Other Malaysia Ports,1734.325459,1734.325459
Kheyrabad,1702,3000
Providenciales,1690.462069,1690.462069
Port Elizabeth,1622.878845,1622.878845
Dunkerque,1619.547451,1619.547451
All Other Domicican Republic Ports,1606.006265,1606.006265
Doha,1581.96,75000
Toamasina,1565.07,40000
All Other Thailand Ports,1549.65466,1549.65466
Zhuhai,1514.114677,1514.114677
Hankow,1503.599992,1503.599992
All Other Japan Ports,1483.16565,1483.16565
Port of Spain,"1,475",29896.9
Paramaribo,"1,470",10601.4
Casablanca,1488.039809,76088.3
Quanzhou,1408.967825,1408.967825
Huangpu,1356.394398,1356.394398
Dakar,1343.35,60000
Bridgetown,"1,192",8650.8
Beirut,1169.26,99460.1
Puerto De Bilbao,1168.398055,1168.398055
Calcutta,1166.770256,1166.770256
Prince Rupert,1090.033855,1090.033855
Puerto De Morales,1023.556819,1023.556819
Venezia,996.3647903,996.3647903
El-Adabiya,969.110753,969.110753
All Other Pakistan Ports,961.7437773,961.7437773
Yangshan,946.3216733,946.3216733
Mogi,917.4220513,917.4220513
Georgetown,910,5283.4
Philipsborough,907.7503448,907.7503448
Nantong,904.2629323,904.2629323
