Port,Containers,Capacity
1,2741219.385,3528600
2,2607479.919,2607479.919
3,1107293.11,1945000
4,721374.4844,1662400
5,487258.157,633400
6,660195.2518,1842300
7,515411.0938,857200
8,456085.5536,1059300
9,358448.8139,579600
10,347853.7069,651800
11,505714.9113,2237400
12,239152.2544,449600
13,267254.0934,913600
14,272107.8143,447000
15,261727.0324,1405000
16,212735.7318,1245300
17,154258.4802,972900
18,189209.1722,789700
19,201206.1151,491700
20,122715.2522,130100
21,127657.4198,255400
22,154785.3814,154785.3814
23,115747.9947,148000
24,154826.5808,274000
25,110928.3821,503400
26,111879.235,368500
27,113255.3848,162138.1
28,94355.54695,217300
29,120370.8226,262800
30,100532.2713,180000
31,99042.08055,99042.08055
32,96161.70662,96161.70662
33,75248.82254,3386900
34,91017.27627,110626.7
35,93196.0656,93196.0656
36,106832.8882,162900
37,80726.76813,367300
38,85014.93759,166200
39,67258.34201,119600
40,58681.69906,445700
41,57740.41389,444200
42,68310.45838,90254.2
43,70476.96271,238554.2
44,58339.47083,58339.47083
45,66327.19359,1012800
46,75306.85806,277500
47,60723.64967,107747.8
48,57493.36838,199200
49,64938.14242,1616000
50,63592.26702,100000
51,50200.13305,255400
52,47614.1,121200
53,60400.16272,74802.9
54,53784.41343,58805.3
55,45720.48182,53700.27005
56,48905.48176,368000
57,34284.04035,237500
58,56201.45,140076
59,33273.43698,50385.2
60,51080.87,51080.87
61,37365.89995,1475000
62,42346.91855,42346.91855
63,41792.16743,85110
64,44204.1,44204.1
65,57965.31387,92684.4
66,34830.24,409700
67,40711.35152,1073600
68,36918.69816,231800
69,34238.98251,294300
70,35091.81915,223700
71,37166.65786,133000
72,31613.09674,306200
73,30764.95413,106200
74,24855.75051,236874.1
75,37649.6268,37851.3048
76,26953.17783,200000
77,24248.33124,344500
78,27246.99468,100000
79,31189.56691,31189.56691
80,29980.64382,35213.29184
81,26766.54,32300
82,25242.93948,224700
83,33818.39527,266400
84,27954.22089,59335.9
85,30603.95372,30603.95372
86,24963.51864,45617.6
87,25930.34,25930.34
88,25861.50848,29426.51342
89,24331.6365,41764.2
90,29995.4288,82693.5
91,24781.2263,27999.1
92,18481.51462,105874.7
93,17256.89658,70836.5
94,22071.22859,22071.22859
95,26067.63283,38920.9
96,16960.17,66713.5
97,16612.36188,53651.8
98,15884.66143,82159.1
99,23614.85347,121318.7
100,22650.06102,23526.8
101,20950.07782,72678.5
102,21681.06767,21681.06767
103,26792.08292,26792.08292
104,14616.38349,148400
105,20086.41107,500500
106,19487.41848,22888.63969
107,13217.41134,13217.41134
108,19813.89635,28350
109,10051.02,303000
110,12152.55844,64736.9
111,19876.37,140000
112,17319.07998,50000
113,15890.37988,189400
114,16737.89286,22817.3
115,7920.33,9200.5
116,22606.14257,84359
117,13258.95456,17700
118,11562.97887,93161.3
119,14210.6763,17499.66273
120,11783.23291,38268.1
121,14650.47,15664.77
122,14892.64,14933.9
123,13239.55684,41835.9
124,14186.19795,303600
125,7161.73,81129.7
126,14334.38629,72282.6
127,10516.41162,21448.3
128,7782.88,13418
129,13731.05129,13731.05129
130,15549.7414,215300
131,8577.1,22000
132,13714.5,17845.2
133,11019.13637,50000
134,11253.94868,12251.91
135,9784.683662,420000
136,13167.44,76700
137,12976.03878,12976.03878
138,14823.45701,14823.45701
139,10413.53473,76612.7
140,12998.8401,160712.2
141,6412.01,10033.93
142,11743.34868,11743.34868
143,10828.36363,98375.6
144,10558.17414,10558.17414
145,8456.907273,61200
146,7794.651019,16003.4
147,8544.866285,8700.014303
148,11274.41618,11274.41618
149,10731.3,10731.3
150,5825.904276,8013.869388
151,6634.79,18000
152,6040.64799,125000
153,9226.89,9226.89
154,6074.780701,335400
155,6515.746629,236100
156,9731.227711,140603
157,4852.67,13845.9
158,3968.854273,6914.230364
159,21562.57483,43824.4
160,6095.937652,84485.6
161,2875.885727,6789.649636
162,4283.036981,6878.13692
163,5994.593208,6113.438868
164,6800.53629,17928.8
165,7862.906308,256410.2
166,4832.598757,155200
167,3721.668057,5976.633538
168,6115.84,6115.84
169,8445.424769,323635.5
170,5437.181007,216100
171,6645.00868,14888
172,5695.167038,5695.167038
173,4335.414,5223.27648
174,5140.77,53000
175,2647.11,4872.01
176,3031.712625,4861.362842
177,3546.26,10000
178,611.7200537,425600
179,3975.771599,291290
180,680.17,286900
181,1909.74,184017.3
182,4554.056338,165500
183,9625.294398,159100
184,3174.693056,153600
185,962.5085842,152000
186,217.1065657,151400
187,2418.223201,126600
188,4806.848144,116030
189,2567.916974,100000
190,6249.72,99460.1
191,3149.195688,91153.3
192,4562.808316,81278.3
193,235.5498167,78234.6
194,1978.63,77314.1
195,1183.389299,76088.3
196,2805.517833,75000
197,6709.47,75000
198,22.81,61716.9
199,719.06,60000
200,582.65,60000
