Port,Shanghai,Singapore,Yantian,Hong Kong,Ningbo,Pusan,Qingdao Gang,Guangzhou,Mina Jabal Ali,Tianjin,Rotterdam,Kelang,Kao-Hsiung,Dalian,Hamburg,Antwerpen,Xiamen,Tanjung Pelepas,Laem Chabang,Ho Chi Minh,Bremerhaven,Jakarta,Lianyungang,Tokyo,Jawaharlal Nehru,Hawaii,Alaska,North Pacific,Central Pacific,South Pacific,East Gulf of Mexico,West Gulf of Mexico,Central Florida,South Atlantic,North Atlantic
Hamburg,8528.196915,10151.26205,8899.156358,8923.726848,8653.095017,8554.34985,8024.68878,8789.01065,4887.307955,7624.935397,410.1806259,9836.06722,9248.148572,7833.863882,0,456.2550154,8954.054628,10125.51778,8903.085042,9488.843063,89.22085857,11011.68582,8098.498195,8984.223492,6550.952557,11610.04116,7129.764307,8089.552091,8880.091532,9114.278407,8413.640896,7850.508266,7768.742938,7213.075804,6249.182045
Antwerpen,8983.929386,10552.02523,9351.347607,9375.661373,9109.068872,9003.271067,8479.393973,9240.701354,5161.490476,8079.55399,76.20126477,10233.34458,9703.740892,8286.31134,456.2550154,0,9409.360394,10525.52397,9320.902386,9916.060307,383.2934022,11404.16099,8553.961657,9417.460625,6890.640934,11767.48087,7305.808841,8103.546996,8852.097098,9046.233528,8201.028421,7608.626847,7468.630712,6945.722408,5993.272285
Xiamen,824.5354497,2995.446209,439.5085062,463.3595463,695.4064687,1586.01841,1305.11241,513.6229791,6302.910615,1618.253515,9363.072185,2980.581656,301.8172008,1645.049329,8954.054628,9409.360394,0,3005.618452,2203.029763,1937.173764,9032.809602,3606.633782,1151.209845,2422.657976,4682.96773,8476.163453,7747.823759,9968.101746,10642.3869,11224.28962,13091.06358,13321.35827,14132.6687,13408.28151,12799.02648
Tanjung Pelepas,3819.939337,34.16361996,2629.746888,2595.385669,3699.218435,4586.264054,4224.032607,2636.283607,5825.145354,4426.547652,10509.25391,301.2135074,2974.460363,4565.341895,10125.51778,10525.52397,3005.618452,0,1337.321019,1103.951022,10214.61102,907.3043439,4061.630589,5337.207285,3867.043553,10840.72761,10750.64085,12965.08863,13592.84554,14158.48706,16096.66041,16289.85908,17011.45662,16254.95957,15478.83205
Laem Chabang,2917.231363,1352.156624,1765.189004,1739.773691,2829.723569,3737.401278,3203.837656,1715.255859,4970.919688,3322.653642,9297.991963,1122.653706,2304.105534,3525.116772,8903.085042,9320.902386,2203.029763,1337.321019,0,684.8706915,8991.447492,2233.681913,3047.051542,4622.54947,3053.800369,10612.26403,9726.285843,12027.27763,12771.54861,13362.40342,15038.12861,15102.50422,15732.16136,14972.98801,14158.32288
Ho Chi Minh,2736.464454,1101.007505,1539.56108,1506.268539,2622.527016,3523.043305,3123.338123,1537.497439,5655.698609,3322.849399,9889.271784,1043.913732,1950.313072,3463.596674,9488.843063,9916.060307,1937.173764,1103.951022,684.8706915,0,9576.371836,1875.57851,2961.024336,4327.638686,3736.085591,10125.39319,9661.186198,11903.26099,12575.59587,13154.34415,15010.7332,15185.91716,15922.54188,15170.60933,14435.71666
Bremerhaven,8601.737517,10240.33791,8980.629163,9005.349805,8727.275284,8620.572273,8096.432845,8870.777994,4969.565837,7696.562037,330.453263,9925.215301,9326.441634,7903.022672,89.22085857,383.2934022,9032.809602,10214.61102,8991.447492,9576.371836,0,11100.88348,8171.479797,9041.460851,6638.57662,11592.74242,7114.598867,8044.20714,8828.14819,9056.211624,8336.385446,7770.068179,7683.214747,7130.128422,6167.080339
Jakarta,4430.611117,887.3723614,3289.065585,3253.280554,4296.461658,5135.13865,4888.822321,3321.240679,6583.252651,5137.216256,11390.51456,1180.927787,3508.712386,5233.058786,11011.68582,11404.16099,3606.633782,907.3043439,2233.681913,1875.57851,11100.88348,0,4728.036181,5774.867938,4646.608235,10795.17625,11306.71049,13408.52382,13920.5973,14447.83445,16562.62433,16903.039,17739.19045,17007.323,16310.23064
Lianyungang,435.2586073,4055.996141,1441.934567,1477.440415,574.22768,874.4043397,162.40829,1425.515506,6200.588013,499.2902422,8500.647184,3991.085574,1349.554451,505.7836801,8098.498195,8553.961657,1151.209845,4061.630589,3047.051542,2961.024336,8171.479797,4728.036181,0,1844.146634,4887.43911,8036.247713,6708.719677,8986.171495,9726.308454,10318.46713,12055.48218,12232.67115,13013.7526,12279.89266,11650.7438
Tokyo,1761.118647,5321.397849,2857.926299,2884.393621,1815.542457,973.0951553,1753.564465,2909.737206,7969.750621,1979.308676,9351.940034,5357.540224,2377.793781,1640.132576,8984.223492,9417.460625,2422.657976,5337.207285,4622.54947,4327.638686,9041.460851,5774.867938,1844.146634,0,6731.537895,6199.912378,5560.981975,7648.031354,8258.375356,8831.117721,10804.24899,11138.8014,12031.67848,11374.23062,10965.22597
Jawaharlal Nehru,5035.559171,3899.191736,4303.160908,4297.957401,5032.345248,5760.642535,4983.14023,4195.300837,1960.745396,4829.130643,6890.898078,3567.150289,4916.030788,5159.18544,6550.952557,6890.640934,4682.96773,3867.043553,3053.800369,3736.085591,6638.57662,4646.608235,4887.43911,6731.537895,0,12902.76262,10321.4043,12556.06721,13501.00233,14043.32569,14569.45082,14186.9373,14288.41679,13662.3347,12690.49115
