Port,Containers,Capacity
1,2909932.024,3528600
2,2767938.614,2767938.614
3,1175443.198,1945000
4,765772.6064,1662400
5,618361.3006,633400
6,677756.8328,1842300
7,547132.8764,857200
8,470695.9358,1059300
9,415169.0714,579600
10,349053.9529,651800
11,416312.7508,2237400
12,265657.382,449600
13,278829.5661,913600
14,288855.1158,447000
15,277856.3708,1405000
16,233812.2782,1245300
17,178668.0483,972900
18,194521.4749,789700
19,202737.805,491700
20,139608.8783,139608.8783
21,145721.0114,255400
22,167809.023,167809.023
23,128576.2885,148000
24,156005.2046,274000
25,121707.5751,503400
26,117159.4355,368500
27,123645.1739,162138.1
28,107345.0271,217300
29,121287.1505,262800
30,110300.2219,180000
31,112851.9547,112851.9547
32,109569.9575,109569.9575
33,79460.87557,3386900
34,98126.91681,110626.7
35,94072.96228,94072.96228
36,98386.08633,162900
37,85360.32169,367300
38,87723.42995,166200
39,71393.8144,119600
40,75404.71395,445700
41,74195.18287,444200
42,74053.03494,90254.2
43,71533.16739,238554.2
44,66370.78881,66370.78881
45,70409.40456,1012800
46,75880.13464,277500
47,65828.43474,107747.8
48,60796.57216,199200
49,68934.86206,1616000
50,67506.15265,100000
51,54547.91091,255400
52,56179.69,121200
53,65118.20596,74802.9
54,55497.93198,58805.3
55,50163.25729,53700.27005
56,50463.56234,368000
57,37667.64407,237500
58,50008.56,140076
59,47578.09011,50385.2
60,48315.97,48315.97
61,36598.61129,1475000
62,45469.21698,45469.21698
63,43452.35376,85110
64,44908.25,44908.25
65,51128.46686,92684.4
66,38389.68,409700
67,42027.00665,1073600
68,37900.75718,231800
69,35335.8044,294300
70,37251.6001,223700
71,38288.36588,133000
72,35663.27239,306200
73,35107.83502,106200
74,30207.29846,236874.1
75,37936.23615,37936.23615
76,29940.38537,200000
77,30070.31282,344500
78,30997.95908,100000
79,32661.57525,32661.57525
80,32893.93921,35213.29184
81,25143.04,32300
82,27631.46791,224700
83,35982.35078,266400
84,29273.53535,59335.9
85,28495.23475,28495.23475
86,27062.09799,45617.6
87,29648.78,29648.78
88,27342.12425,29426.51342
89,27554.13983,41764.2
90,33407.94471,82693.5
91,25950.78958,27999.1
92,22831.57223,105874.7
93,21537.87365,70836.5
94,24994.36151,24994.36151
95,29702.35785,38920.9
96,19704.29,66713.5
97,20733.44705,53651.8
98,19825.22346,82159.1
99,24447.09704,121318.7
100,24419.32723,24419.32723
101,21938.82798,72678.5
102,27391.28126,27391.28126
103,23993.98748,23993.98748
104,18242.31949,148400
105,21322.66068,500500
106,21381.06049,22888.63969
107,16328.43886,16328.43886
108,20749.02382,28350
109,17176.1,303000
110,15012.94789,64736.9
111,21809.87,140000
112,19703.3155,50000
113,20418.79443,189400
114,17527.84669,22817.3
115,14068.54,14068.54
116,23627.14624,84359
117,14728.43802,17700
118,14284.59695,93161.3
119,15405.30885,17499.66273
120,12803.76564,38268.1
121,18609.64,18609.64
122,12877.59,14933.9
123,16659.51212,41835.9
124,14686.15329,303600
125,10148.43,81129.7
126,14443.5074,72282.6
127,11120.61784,21448.3
128,9911.53,13418
129,16273.98016,16273.98016
130,13494.83,215300
131,9948.55,22000
132,18929.39,18929.39
133,13638.83572,50000
134,10760.45874,12251.91
135,7360.473427,420000
136,12516.83,76700
137,13081.83251,13081.83251
138,16069.60348,16069.60348
139,11195.41922,76612.7
140,10948.90346,160712.2
141,9860,10033.93
142,10162.24189,10162.24189
143,11339.41406,98375.6
144,11056.47283,11056.47283
145,9391.030051,61200
146,7911.465743,16003.4
147,7956.095248,8700.014303
148,11416.50493,11416.50493
149,8188.02,8572.21
150,6471.586402,8013.869388
151,7768.14,18000
152,6412.065605,125000
153,6988.75,7640.64
154,6129.784554,335400
155,6916.938456,236100
156,18178.03806,140603
157,4611,13845.9
158,6266.1835,6914.230364
159,19693.95379,43824.4
160,6267.089322,84485.6
161,5462.9165,6789.649636
162,5345.544545,6878.13692
163,5382.34566,6113.438868
164,7024.432198,17928.8
165,14687.99358,256410.2
166,5368.193318,155200
167,4644.91492,5976.633538
168,6164.33,6164.33
169,15776.14433,323635.5
170,5478.571773,216100
171,6908.584303,14888
172,6593.826189,6593.826189
173,4767.37212,5223.27648
174,6696.67,53000
175,3161.94,4872.01
176,3847.434332,4861.362842
177,3244.43,10000
178,599.1587114,425600
179,5002.628769,291290
180,564.08,286900
181,2719.13,184017.3
182,2251.126573,165500
183,7984.127722,159100
184,3185.647122,153600
185,996.4296747,152000
186,224.0614229,151400
187,2486.118078,126600
188,5102.693138,116030
189,2725.963445,100000
190,2691.83,99460.1
191,3196.391185,91153.3
192,6595.491542,81278.3
193,246.6667167,78234.6
194,3541.44,77314.1
195,1198.145446,76088.3
196,2978.18782,75000
197,10974.52,75000
198,329.36,61716.9
199,1638.66,60000
200,1075.85,60000
