Port,Containers,Capacity
1,2781569.213,3528600
2,2645859.166,2645859.166
3,1123592.092,1945000
4,731992.8743,1662400
5,561323.5213,633400
6,679084.669,1842300
7,522997.7718,857200
8,465800.711,1059300
9,392820.9851,579600
10,337283.6646,651800
11,454292.5274,2237400
12,260046.2223,449600
13,271495.716,913600
14,276113.1499,447000
15,265590.5516,1405000
16,233336.4141,1245300
17,169050.5473,972900
18,202700.0176,789700
19,210740.2228,491700
20,132502.8858,132502.8858
21,138087.3366,255400
22,164152.3975,164152.3975
23,125860.527,148000
24,162163.0045,274000
25,113353.5876,503400
26,116292.6103,368500
27,119172.5924,162138.1
28,101881.2416,217300
29,126074.5677,262800
30,102739.3367,180000
31,102439.1972,102439.1972
32,99460.02721,99460.02721
33,80440.7399,3386900
34,99361.89786,110626.7
35,89455.70797,89455.70797
36,100941.5593,162900
37,84843.78477,367300
38,86155.6349,166200
39,69429.39413,119600
40,68876.49649,445700
41,67771.68143,444200
42,66871.02609,90254.2
43,69065.77288,238554.2
44,62992.56289,62992.56289
45,67303.50758,1012800
46,78875.25705,277500
47,59444.08598,107747.8
48,53353.6803,199200
49,65894.01004,1616000
50,64528.32381,100000
51,56026.36754,255400
52,53208.42,121200
53,65937.75429,74802.9
54,54506.07174,58805.3
55,46720.05977,53700.27005
56,49561.67646,368000
57,35268.82449,237500
58,54991.92,140076
59,39217.35614,50385.2
60,49847.32,49847.32
61,34903.09866,1475000
62,44860.82247,44860.82247
63,43707.08387,85110
64,46608.64,46608.64
65,56066.8169,92684.4
66,36977.86,409700
67,43490.60437,1073600
68,37975.01095,231800
69,34968.31301,294300
70,35608.35893,223700
71,38031.93967,133000
72,33892.06057,306200
73,33271.54024,106200
74,28719.34506,236874.1
75,39433.64614,39433.64614
76,29307.9908,200000
77,28582.79075,344500
78,29420.18502,100000
79,32419.92269,32419.92269
80,30636.10477,35213.29184
81,26841.66,32300
82,28480.2502,224700
83,34703.00093,266400
84,29056.94981,59335.9
85,31541.61989,31541.61989
86,24437.48946,45617.6
87,27195.82,27195.82
88,27174.59026,29426.51342
89,26637.94409,41764.2
90,32390.76066,82693.5
91,25758.78797,27999.1
92,21772.58271,105874.7
93,20487.63673,70836.5
94,24163.28031,24163.28031
95,26961.74561,38920.9
96,18868.97,66713.5
97,19722.43584,53651.8
98,18858.49935,82159.1
99,23502.27287,121318.7
100,24726.65786,24726.65786
101,21776.5096,72678.5
102,38349.87116,38349.87116
103,27183.23894,27183.23894
104,17352.78147,148400
105,20382.07628,500500
106,19913.4681,22888.63969
107,15571.0821,15571.0821
108,20595.50842,28350
109,14590.07,303000
110,14316.60712,64736.9
111,21203.96,140000
112,18700.43077,50000
113,18651.02258,189400
114,17398.16375,22817.3
115,10401.43,10401.43
116,23632.53613,84359
117,14417.34703,17700
118,13622.03905,93161.3
119,13911.23012,17499.66273
120,13150.79657,38268.1
121,17789.56,17789.56
122,16612.27,16612.27
123,23906.65516,41835.9
124,14118.56718,303600
125,7232.41,81129.7
126,15013.61805,72282.6
127,9759.199699,21448.3
128,9139.39,13418
129,15181.25874,15181.25874
130,15030.40022,215300
131,9680.07,22000
132,15300.55,17845.2
133,12465.76041,50000
134,11429.88334,12251.91
135,9567.658592,420000
136,12077.38,76700
137,13715.05821,13715.05821
138,14511.09836,14511.09836
139,10291.12907,76612.7
140,12158.45653,160712.2
141,8285.1,10033.93
142,11342.79717,11342.79717
143,11255.51736,98375.6
144,10974.66952,10974.66952
145,9203.441196,61200
146,7638.575447,16003.4
147,8806.670108,8806.670108
148,11569.92937,11569.92937
149,9935.35,9935.35
150,6334.894907,8013.869388
151,6634.4,18000
152,6235.635872,125000
153,7275.8,7640.64
154,5759.473854,335400
155,6611.656228,236100
156,12417.48345,140603
157,5366.96,13845.9
158,5976.582909,6914.230364
159,22414.17621,43824.4
160,6530.585462,84485.6
161,5253.027091,6789.649636
162,5084.883333,6878.13692
163,6130.524151,6130.524151
164,7041.778877,17928.8
165,10033.42146,256410.2
166,5254.807461,155200
167,4418.418041,5976.633538
168,5750.65,5763.88
169,10776.74117,323635.5
170,5694.82064,216100
171,6666.368248,14888
172,6015.081488,6015.081488
173,4755.203459,5223.27648
174,5900.81,53000
175,3088.48,4872.01
176,3492.546162,4861.362842
177,3478.11,10000
178,571.4013423,425600
179,7175.271113,291290
180,748.19,286900
181,2544.04,184017.3
182,3883.341408,165500
183,10703.47203,159100
184,3078.225376,153600
185,957.9199554,152000
186,221.7311903,151400
187,2590.645472,126600
188,4877.603333,116030
189,2605.715849,100000
190,3018.93,99460.1
191,3086.13802,91153.3
192,5153.216961,81278.3
193,244.8417085,78234.6
194,3059.58,77314.1
195,1119.416146,76088.3
196,2846.814112,75000
197,9985.78,75000
198,20.44,61716.9
199,1043.5,60000
200,733.52,60000
