Port,Containers
A,"55,634.73"
B,141.44
C,"3,513,633.51"
D,"1,811,469.65"
E,"18,071,852.00"
F,"1,523,804.54"
G,"614,853.42"
H,"1,547,425.45"
I,"4,792,226.11"
J,"3,806,686.59"
