Port,Containers,Capacity
Shanghai,304237,1764300
Singapore,85468,1693450
Yantian,289306,1189900
Hong Kong,129693,1118700
Ningbo,122966,972500
Pusan,169561,921150
Qingdao Gang,80110,831200
Guangzhou,7081,808000
Mina Jabal Ali,5040,737500
Tianjin,29065,702500
Rotterdam,49539,622650
Kelang,4551,536800
Kao-Hsiung,106610,529650
Dalian,7366,506400
Hamburg,26269,486450
Antwerpen,55044,456800
Xiamen,57069,428600
Tanjung Pelepas,22534,394850
Laem Chabang,25530,325900
Ho Chi Minh,29894,316700
Bremerhaven,60973,289800
Jakarta,444,251700
Lianyungang,2231,250250
Tokyo,26459,245850
Jawaharlal Nehru,21428,224800
Chiwan,30218,223500
Algeciras,18894,222850
Valencia,18648,222100
Khawr Fakkan,84,212800
Jeddah,623,210000
Colombo,14974,204850
Santos,16149,184250
Felixstowe,5473,184000
Manila,752,183650
Constantinopole,1104,172250
Tanger,526,167700
Balboa,13493,161817.75
Gioia Tauro,5260,153100
Port Said,3376,151800
Mina Raysut,25666,151500
Shilong,8043,147150
Vancouver,427,145645
Marsaxlokk,23,143450
Yokohama Ko,9889,138750
Nagoya Ko,20360,137000
Durban,4211,133200
Kobe,15826,131400
Colon,14389,128205.1
Le Havre,17433,127700
Melbourne,6180,127700
Cartagena,17993,119277.1
St Petersburg,768,118750
Yantai,724,118050
Gwangyang Hang,9482,115900
Sydney,2948,112350
Fuzhou,3897,111850
Genova,15945,108650
Osaka,715,108050
Dublin,30,107650
Mumbai,2415,100000
Puerto Del Callao,3149,99600
Barcelona,4252,94700
Rades,2445,92008.65
Surabaja,400,90000
Southampton,9514,83100
Dammam,15,82750
Chittagong,357,81450
Guayaquil,8587,81069.05
Kingston,16571,80356.1
Karachi,328,79550
Chennai,384,77600
Bangkok,133,76800
Alexandria,142,76000
Taichung,51,75700
Mersin,703,74200
Mundra,10371,74000
Manzanillo,17808,70301.5
Buenos Aires,4552,70038
South Riding Point,18195,70000
Taipei,7976,66500
La Spezia,21285,65050
Pulau Pinang,288,63300
Ashdod,834,62500
Damietta,6011,60659.35
Gdynia,304,60600
Haifa,9286,59800
Nanjing,389,58015
Puerto Moin,10476,55313.35
Puerto San Antonio,4162,53873.9
Marseille,4250,53100
Lazaro Cardenas,2857,52937.35
Da Chan Bay,7062,50000
Cagliari,4726,50000
Jiangyin,285,50000
Beirut,779,49730.05
Itajai,1246,49187.8
Veracruz,1854,46580.65
Goteburg,2361,46342.2
Buenaventura,804,45576.65
