Port,Containers,Capacity
1,2749516.361,3528600
2,2615502.402,2615502.402
3,1110644.606,1945000
4,723557.9021,1662400
5,465725.3393,633400
6,640801.9048,1842300
7,516971.1125,857200
8,432007.6914,1059300
9,308618.7227,579600
10,361187.3373,651800
11,552689.7571,2237400
12,218512.9187,449600
13,218680.3753,913600
14,272931.4157,447000
15,262521.2108,1405000
16,215205.5459,1245300
17,132814.0959,972900
18,191473.0478,789700
19,194342.3435,491700
20,109123.5027,130100
21,122279.2673,255400
22,133262.9172,133262.9172
23,105758.7026,148000
24,149544.9607,274000
25,112993.499,503400
26,109269.1958,368500
27,103148.7537,162138.1
28,83904.87407,217300
29,116264.5964,262800
30,102409.0923,180000
31,85582.448,85582.448
32,83093.51147,83093.51147
33,71803.09854,3386900
34,92810.51544,110626.7
35,110802.4539,110802.4539
36,112676.5758,162900
37,75691.88924,367300
38,74103.57053,166200
39,69559.26049,119600
40,53370.16652,445700
41,52514.08112,444200
42,61552.50175,90254.2
43,74710.75597,238554.2
44,51877.88224,51877.88224
45,66527.94919,1012800
46,72737.90498,277500
47,54716.25636,107747.8
48,48808.10514,199200
49,65134.69371,1616000
50,63784.74469,100000
51,53845.94207,255400
52,46070.18,121200
53,61590.17786,74802.9
54,46881.37387,58805.3
55,46571.64485,53700.27005
56,42628.63585,368000
57,34186.05049,237500
58,51025.57,140076
59,34738.98675,50385.2
60,48467.99,48467.99
61,25821.3664,1475000
62,36455.88277,36455.88277
63,44058.02259,85110
64,52078.34,52078.34
65,51386.06882,92684.4
66,31992.64,409700
67,41215.07882,1073600
68,35834.20516,231800
69,32431.42361,294300
70,35198.03319,223700
71,35257.23883,133000
72,28272.00396,306200
73,29492.19804,106200
74,19476.22143,236874.1
75,36365.27997,37851.3048
76,24627.06266,200000
77,22705.78512,344500
78,24229.16014,100000
79,30461.94313,30461.94313
80,30538.78351,35213.29184
81,20634.59,32300
82,26920.52447,224700
83,32771.34735,266400
84,27302.07475,59335.9
85,28445.18816,28445.18816
86,22493.87665,45617.6
87,21819.48,21819.48
88,24237.33229,29426.51342
89,21352.14136,41764.2
90,26066.42543,82693.5
91,24203.1032,27999.1
92,14063.78796,105874.7
93,16099.97433,70836.5
94,19368.52841,19368.52841
95,22525.09054,38920.9
96,15832.6,66713.5
97,15498.64999,53651.8
98,14819.73541,82159.1
99,22182.09473,121318.7
100,23096.3167,23526.8
101,20461.33186,72678.5
102,26236.5287,26236.5287
103,24297.9974,24297.9974
104,13636.48428,148400
105,20147.20754,500500
106,19850.20928,22888.63969
107,10057.98898,10057.98898
108,19351.65645,28350
109,9371.28,303000
110,9247.673076,64736.9
111,21995.54,140000
112,15400.84576,50000
113,14452.07337,189400
114,16347.41328,22817.3
115,6055.44,9200.5
116,23662.03741,84359
117,12114.67927,17700
118,8799.02359,93161.3
119,12804.81348,17499.66273
120,12638.99591,38268.1
121,15319.67,15664.77
122,16060.27,16060.27
123,16119.40937,41835.9
124,13325.49394,303600
125,7955.18,81129.7
126,13845.39542,72282.6
127,8927.744859,21448.3
128,5928.57,13418
129,11911.08412,11911.08412
130,13902.00001,215300
131,7172.52,22000
132,10191.46,17845.2
133,10610.71502,50000
134,9658.141162,12251.91
135,7878.484789,420000
136,12606.05,76700
137,12514.81848,12514.81848
138,13356.97176,13356.97176
139,10123.90265,76612.7
140,12931.0869,160712.2
141,4769.73,10033.93
142,10502.94132,10502.94132
143,10575.74792,98375.6
144,10311.86169,10311.86169
145,7731.438895,61200
146,8262.902483,16003.4
147,7942.121842,8700.014303
148,10794.56386,10794.56386
149,9655.61,9655.61
150,5323.116649,8013.869388
151,7643.28,18000
152,6247.29951,125000
153,5474.33,7640.64
154,6123.628344,335400
155,6535.468142,236100
156,9598.768136,140603
157,4671.44,13845.9
158,4157.343773,6914.230364
159,36259.70069,43824.4
160,6168.875153,84485.6
161,3136.886227,6789.649636
162,3995.897243,6878.13692
163,5457.423774,6113.438868
164,6607.797221,17928.8
165,7755.87796,256410.2
166,4415.535458,155200
167,3472.163138,5976.633538
168,4398.89,5763.88
169,8330.467293,323635.5
170,5251.701713,216100
171,6725.172616,14888
172,5352.135828,5352.135828
173,4379.555586,5223.27648
174,3973.84,53000
175,2157.54,4872.01
176,2897.73577,4861.362842
177,3127.34,10000
178,422.7235973,425600
179,4837.829987,291290
180,746.98,286900
181,1569.01,184017.3
182,6558.025211,165500
183,8492.386111,159100
184,3296.382671,153600
185,904.1113307,152000
186,205.6449837,151400
187,2447.157086,126600
188,4821.397255,116030
189,2575.689408,100000
190,8591.18,99460.1
191,3338.378692,91153.3
192,4667.23311,81278.3
193,230.0546572,78234.6
194,3148.88,77314.1
195,1212.941656,76088.3
196,2814.009424,75000
197,6340.65,75000
198,1.65,61716.9
199,496.9,60000
200,465.47,60000
